I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Complete Transactions
@_,AIQ.L,AIQ Limited,Technology,Software Application,6.00,3.50 - 3.50,4.50 - 4.50,1.00 - 1.00,4.00,1428.00,43090,2,0.525,1
*_,AJB.L,AJ Bell plc,Financial Services,Asset Management,0.50,518.35 - 519.50,527.00 - 531.00,8.65 - 12.65,510.00,181.35,319923,4,0.897,2
@_,AJOT.L,AVI Japan Opportunity Ord,Financial Services,Asset Management,1.00,173.09 - 176.50,176.00 - 181.60,2.91 - 8.51,178.50,356.72,345083,4,UNKNOWN,4
*_,ALFA.L,Alfa Financial Software Holdings PLC,Technology,Software Application,1.33,219.50 - 230.50,224.00 - 234.00,4.50 - 14.50,218.00,254.40,214510,4,-0.176,3
*_,ALK.L,Alkemy Capital Investments Plc,Financial Services,Shell Companies,1.50,202.77 - 207.60,218.00 - 230.51,15.23 - 27.74,204.50,915.36,78681,3,0.547,2
@_,ALL.L,Atlantic Lithium Limited,Basic Materials,Other Industrial Metals & Mining,1.20,7.34 - 7.82,7.98 - 8.48,0.64 - 1.14,8.05,1589.80,234709,4,-0.629,5
@_,ALRT.L,Defence Holdings Plc,Industrials,Aerospace & Defense,3.00,0.35 - 0.37,0.39 - 0.45,0.04 - 0.10,0.41,1698.76,59226576,9,UNKNOWN,2
@_,ALT.L,Altitude Group plc,Technology,Software Application,0.75,18.65 - 19.19,20.00 - 21.44,1.35 - 2.79,21.00,1556.36,65380,3,1.067,4
@_,ALTN.L,AltynGold plc,Basic Materials,Gold,0.83,614.08 - 650.90,630.00 - 670.00,15.92 - 55.92,670.00,869.16,35418,2,0.905,6
*_,ALU.L,The Alumasc Group plc,Industrials,Building Products & Equipment,1.00,360.66 - 368.64,366.30 - 376.20,5.64 - 15.54,365.00,229.45,47581,2,0.572,3
@_,ALW.L,Alliance Witan Ord,Financial Services,Asset Management,2.00,1244.00 - 1244.00,1261.35 - 1261.35,17.35 - 17.35,1256.00,69.40,533921,5,UNKNOWN,1
@_,AMCO.L,Amcomri Group plc,Industrials,Conglomerates,0.67,125.15 - 136.70,126.64 - 139.80,1.49 - 14.65,139.80,850.91,129629,3,UNKNOWN,6
*_,AMG.L,Atlas Metals Group plc,Basic Materials,Other Industrial Metals & Mining,0.50,9.50 - 10.50,10.00 - 10.85,0.50 - 1.35,10.00,429.60,42521,2,0.615,2
@_,AMGO.L,Amigo Holdings PLC,Financial Services,Credit Services,0.43,0.20 - 0.26,0.27 - 0.30,0.07 - 0.10,0.30,6986.49,581121,5,1.201,7
@_,AML.L,Aston Martin Lagonda Global Holdings plc,Consumer Cyclical,Auto Manufacturers,0.75,70.85 - 74.20,72.40 - 76.10,1.55 - 5.25,74.95,664.29,1199609,6,2.207,4
*_,AMOI.L,Anemoi International Limited,Technology,Software Application,0.00,0.92 - 1.03,0.96 - 1.20,0.04 - 0.29,0.95,2179.00,290994,4,0.308,4
*_,AMRQ.L,Amaroq Ltd.,Basic Materials,Gold,1.50,75.00 - 75.00,75.90 - 75.95,0.90 - 0.95,70.50,122.10,385683,4,-0.162,2
*_,AMS.L,Advanced Medical Solutions Group plc,Healthcare,Medical Instruments & Supplies,0.75,202.21 - 205.00,206.00 - 214.00,3.79 - 11.79,202.62,534.96,397528,4,0.809,4
*_,ANCR.L,Animalcare Group plc,Healthcare,Drug Manufacturers Specialty & Generic,1.00,269.00 - 271.00,273.29 - 274.50,4.29 - 5.50,265.00,192.24,36607,2,0.43,3
@_,ANG.L,Angling Direct PLC,Consumer Cyclical,Specialty Retail,0.20,44.00 - 45.20,45.50 - 46.00,1.50 - 2.00,45.50,745.66,23737,2,0.771,5
*_,ANIC.L,Agronomics Limited,Financial Services,Asset Management,0.67,7.35 - 7.80,7.43 - 7.90,0.08 - 0.55,7.50,379.53,1922340,6,1.376,6
*_,ANII.L,Aberdeen New India Investment Trust PLC,UNKNOWN,UNKNOWN,1.00,778.44 - 784.39,794.00 - 804.00,15.56 - 25.56,781.98,283.02,38231,2,UNKNOWN,3
@_,ANP.L,Anpario plc,Consumer Defensive,Packaged Foods,0.80,380.00 - 391.80,385.88 - 412.48,5.88 - 32.48,405.00,806.08,26509,2,0.703,5
@_,ANTO.L,Antofagasta plc,Basic Materials,Copper,1.00,1953.00 - 2105.00,1992.00 - 2168.00,39.00 - 215.00,2122.00,488.82,862819,5,1.213,5
@_,ANX.L,Anexo Group Plc,Industrials,Rental & Leasing Services,2.00,36.00 - 37.27,38.01 - 42.18,2.01 - 6.18,42.10,1346.29,582046,5,0.479,3
@_,AO.L,AO World plc,Consumer Cyclical,Specialty Retail,1.25,87.30 - 89.38,89.29 - 90.43,1.99 - 3.13,89.80,315.10,269034,4,0.89,4
@_,AOM.L,ActiveOps Plc,Technology,Software Application,1.50,160.00 - 161.77,164.00 - 165.00,4.00 - 5.00,164.00,472.85,29152,2,0.437,4
@_,API.L,abrdn Property Income Trust Ord,Real Estate,REIT Diversified,0.00,5.40 - 5.43,5.50 - 5.74,0.10 - 0.34,5.76,1844.82,328935,4,UNKNOWN,13
@_,APN.L,Applied Nutrition Plc,Consumer Defensive,Packaged Foods,0.00,130.00 - 131.40,132.34 - 133.30,2.34 - 3.30,131.00,313.12,210314,4,UNKNOWN,4
@_,APTA.L,Aptamer Group PLC,Healthcare,Biotechnology,1.50,0.50 - 0.52,0.52 - 0.69,0.02 - 0.19,0.69,2343.61,44439367,8,-0.197,4
*_,APTD.L,Aptitude Software Group plc,Technology,Software Application,0.80,280.00 - 284.00,284.70 - 289.00,4.70 - 9.00,274.00,432.82,96533,3,0.19,5
*_,ARB.L,Argo Blockchain plc,Financial Services,Capital Markets,0.22,2.15 - 2.28,2.27 - 2.40,0.12 - 0.25,2.20,2193.03,1411601,6,2.967,9
@_,ARBB.L,Arbuthnot Banking Group PLC,Financial Services,Banks Regional,0.22,1001.60 - 1022.50,1036.00 - 1054.01,34.40 - 52.41,1037.00,1445.84,2493,1,0.695,9
@_,ARC.L,Arcontech Group plc,Technology,Software Application,1.50,87.04 - 88.41,90.50 - 91.75,3.46 - 4.71,89.00,385.51,11091,2,0.172,2
@_,ARCM.L,Arc Minerals Limited,Basic Materials,Other Industrial Metals & Mining,0.17,0.93 - 0.97,1.00 - 1.03,0.07 - 0.11,1.00,1902.50,2169285,6,-0.155,6
@_,AREC.L,Arecor Therapeutics plc,Healthcare,Biotechnology,0.50,59.88 - 63.14,63.54 - 65.00,3.66 - 5.12,63.50,864.25,46485,2,-0.385,4
@_,ARK.L,Arkle Resources PLC,Basic Materials,Other Industrial Metals & Mining,6.00,0.25 - 0.25,0.29 - 0.29,0.04 - 0.04,0.29,793.64,1946576,6,-0.304,1
@_,ARR.L,Aurora UK Alpha Ord,Financial Services,Asset Management,3.00,249.00 - 249.10,252.00 - 253.00,3.00 - 4.00,252.00,138.00,102589,3,UNKNOWN,2
@_,ARS.L,Asiamet Resources Limited,Basic Materials,Other Industrial Metals & Mining,0.30,0.95 - 0.98,0.99 - 1.03,0.04 - 0.08,1.02,1500.67,1704385,6,0.945,10
@_,ART.L,The Artisanal Spirits Company plc,Consumer Defensive,Beverages Wineries & Distilleries,2.00,42.04 - 44.50,46.25 - 46.25,4.21 - 4.21,44.50,692.78,7824,1,0.134,2
@_,ARV.L,Artemis Resources Limited,Basic Materials,Other Industrial Metals & Mining,0.00,0.25 - 0.25,0.26 - 0.30,0.01 - 0.05,0.28,4144.77,188393,3,-0.421,8
@_,ASAI.L,ASA International Group PLC,Financial Services,Credit Services,1.00,121.02 - 125.00,131.76 - 138.50,10.74 - 17.48,128.50,980.34,32846,2,1.391,2
*_,ASC.L,ASOS Plc,Consumer Cyclical,Internet Retail,1.00,304.04 - 311.96,316.00 - 322.00,11.96 - 17.96,307.00,352.00,149839,3,2.148,2
*_,ASHM.L,Ashmore Group Plc,Financial Services,Asset Management,1.33,173.80 - 173.90,176.00 - 176.20,2.20 - 2.40,173.45,191.80,477906,4,0.944,3
@_,ASLI.L,abrdn European Logistics Income PLC,UNKNOWN,UNKNOWN,3.00,47.10 - 47.10,47.70 - 47.70,0.60 - 0.60,47.29,63.60,1126443,6,UNKNOWN,1
@_,AST.L,Ascent Resources Plc,Energy,Oil & Gas E&P,0.00,0.33 - 0.33,0.36 - 0.40,0.03 - 0.07,0.37,4223.23,883065,5,-1.3,6
@_,ASY.L,Andrews Sykes Group plc,Industrials,Rental & Leasing Services,0.67,502.00 - 515.00,519.80 - 530.00,17.80 - 28.00,515.00,745.02,1627,1,0.363,6
*_,AT.L,Ashtead Technology Holdings Plc,Energy,Oil & Gas Equipment & Services,0.33,344.50 - 352.00,353.01 - 361.46,8.51 - 16.96,325.50,342.58,786499,5,0.217,3
@_,ATG.L,Auction Technology Group plc,Technology,Software Application,1.00,330.00 - 347.50,351.50 - 352.88,21.50 - 22.88,343.25,397.82,676528,5,1.028,2
*_,ATM.L,Andrada Mining Limited,Basic Materials,Other Industrial Metals & Mining,0.33,2.96 - 3.14,3.03 - 3.23,0.06 - 0.27,3.04,1104.43,3038005,6,0.518,6
@_,ATN.L,Aterian plc,Basic Materials,Other Industrial Metals & Mining,2.33,32.50 - 35.00,35.50 - 40.00,3.00 - 7.50,37.50,1358.80,20678,2,0.089,3
@_,ATOM.L,Atome Plc,Utilities,Utilities Renewable,0.18,46.00 - 46.78,47.00 - 50.73,1.00 - 4.73,49.50,1739.97,51228,3,0.584,11
@_,ATR.L,Schroder Asian Total Return Inv. Company,Financial Services,Asset Management,2.33,497.00 - 497.60,503.77 - 506.00,6.77 - 9.00,499.00,217.90,139355,3,UNKNOWN,3
@_,ATT.L,Allianz Technology Trust Ord,Financial Services,Asset Management,0.00,457.53 - 458.83,466.94 - 468.00,9.41 - 10.47,461.50,185.80,729647,5,UNKNOWN,2
@_,ATYM.L,Atalaya Mining Copper  S.A.,Basic Materials,Copper,0.50,450.00 - 515.00,459.50 - 521.50,9.50 - 71.50,518.00,851.30,286588,4,1.176,6
*_,AUGM.L,Augmentum Fintech Ord,Financial Services,Asset Management,1.00,88.52 - 89.78,89.88 - 90.80,1.36 - 2.28,88.40,303.09,416689,4,UNKNOWN,4
@_,AURA.L,Aura Energy Limited,Energy,Uranium,0.25,7.50 - 7.85,8.00 - 8.50,0.50 - 1.00,7.89,1716.07,36112,2,-0.959,4
*_,AURR.L,Aurrigo International plc,Consumer Cyclical,Auto Parts,0.25,46.77 - 70.35,52.27 - 73.00,5.50 - 26.23,47.50,1696.65,37306,2,0.493,4
@_,AUSC.L,abrdn UK Smaller Companies Growth Ord,Financial Services,Asset Management,1.00,520.00 - 520.00,526.00 - 526.00,6.00 - 6.00,524.00,54.00,275156,4,UNKNOWN,1
*_,AUTO.L,Auto Trader Group plc,Communication Services,Internet Content & Information,0.00,829.00 - 829.00,842.60 - 842.60,13.60 - 13.60,807.00,81.60,1299692,6,0.652,1
@_,AV.L,Aviva plc,Financial Services,Insurance Diversified,2.00,646.00 - 657.00,654.80 - 689.30,8.80 - 43.30,669.00,348.95,5795436,7,0.81,3
*_,AVAP.L,Avation PLC,Industrials,Rental & Leasing Services,1.00,159.00 - 159.02,160.66 - 161.38,1.66 - 2.38,158.60,248.62,37475,2,0.527,4
@_,AVCT.L,Avacta Group Plc,Healthcare,Biotechnology,1.50,45.31 - 46.00,46.80 - 48.70,1.49 - 3.39,48.00,874.55,1986622,6,-0.461,4
@_,AVG.L,Avingtrans plc,Industrials,Specialty Industrial Machinery,0.60,430.00 - 440.00,441.27 - 447.00,11.27 - 17.00,440.00,473.22,41723,2,0.364,5
*_,AVON.L,Avon Technologies Plc,Industrials,Aerospace & Defense,0.50,2096.50 - 2130.00,2135.00 - 2155.00,38.50 - 58.50,1988.00,127.00,91458,3,0.237,2
@_,AWE.L,Alphawave IP Group plc,Technology,Semiconductors,1.33,172.10 - 174.90,173.98 - 177.18,1.88 - 5.07,176.10,196.76,1127174,6,1.427,3
*_,AXL.L,Arrow Exploration Corp.,Energy,Oil & Gas E&P,1.00,14.26 - 14.50,14.50 - 14.75,0.24 - 0.49,14.38,341.01,335102,4,0.164,4
@_,AXS.L,Accsys Technologies PLC,Basic Materials,Lumber & Wood Production,1.33,60.20 - 60.82,61.60 - 61.80,1.40 - 1.60,61.50,265.48,28337,2,1.325,3
*_,AYM.L,Anglesey Mining plc,Basic Materials,Other Industrial Metals & Mining,0.00,0.75 - 0.76,0.77 - 0.80,0.02 - 0.05,0.50,664.57,730671,5,2.124,4
@_,B90.L,B90 Holdings PLC,Consumer Cyclical,Gambling,0.00,2.87 - 2.95,3.00 - 3.00,0.13 - 0.13,3.00,430.63,54258,3,0.321,3
@_,BA.L,BAE Systems plc,Industrials,Aerospace & Defense,1.50,1699.00 - 1732.50,1754.00 - 1771.50,55.00 - 72.50,1758.50,188.00,3921883,6,0.342,2
@_,BAB.L,Babcock International Group PLC,Industrials,Engineering & Construction,3.00,949.00 - 961.50,976.00 - 993.00,27.00 - 44.00,993.00,292.50,2169285,6,1.359,2
@_,BAG.L,A.G. BARR p.l.c.,Consumer Defensive,Beverages Non-Alcoholic,0.50,688.16 - 691.00,696.00 - 701.00,7.84 - 12.84,692.00,124.88,144338,3,0.331,2
*_,BAKK.L,Bakkavor Group plc,Consumer Defensive,Packaged Foods,0.00,232.28 - 234.50,236.50 - 238.00,4.22 - 5.72,232.50,225.12,157538,3,0.681,3
*_,BANK.L,Fiinu Plc,Financial Services,Credit Services,2.00,9.44 - 16.40,11.18 - 17.30,1.74 - 7.86,14.50,5205.66,1559210,6,10.161,3
@_,BARC.L,Barclays PLC,Financial Services,Banks Diversified,3.50,362.15 - 371.00,373.15 - 377.70,11.00 - 15.55,371.60,230.10,41507399,8,1.061,2
*_,BASC.L,Brown Advisory US Smaller Companies Ord,Financial Services,Asset Management,2.50,1290.00 - 1296.20,1310.00 - 1325.00,20.00 - 35.00,1280.00,146.40,15215,2,UNKNOWN,2
*_,BATS.L,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,4.00,4187.00 - 4187.00,4338.00 - 4338.00,151.00 - 151.00,4185.00,151.00,3795157,6,0.149,1
@_,BBB.L,Bigblu Broadband plc,Communication Services,Telecom Services,1.50,19.33 - 19.38,20.50 - 20.50,1.17 - 1.17,20.00,589.70,14636,2,0.025,2
*_,BBH.L,Bellevue Healthcare Ord,Financial Services,Asset Management,0.50,111.00 - 113.20,112.36 - 114.86,1.36 - 3.86,112.80,239.84,1605600,6,UNKNOWN,4
*_,BBOX.L,Tritax Big Box Ord,UNKNOWN,UNKNOWN,0.00,136.70 - 142.72,138.50 - 144.50,1.80 - 7.80,138.00,127.10,6240496,7,UNKNOWN,2
@_,BBSN.L,Brave Bison Group plc,Communication Services,Internet Content & Information,0.50,63.70 - 67.40,67.40 - 68.80,3.70 - 5.10,66.50,980.25,81908,3,0.518,8
@_,BBY.L,Balfour Beatty plc,Industrials,Engineering & Construction,1.00,545.00 - 563.00,553.00 - 572.50,8.00 - 27.50,569.00,398.74,1398095,6,0.71,5
@_,BC94.L,Samsung Electronics Co.  Ltd.,Technology,Consumer Electronics,0.67,1230.00 - 1268.00,1277.00 - 1306.00,47.00 - 76.00,1270.00,380.00,288,1,0.752,3
*_,BCG.L,Baltic Classifieds Group PLC,Communication Services,Internet Content & Information,1.50,341.00 - 350.05,354.50 - 358.00,13.50 - 17.00,335.00,300.30,914908,5,1.409,2
*_,BEG.L,Begbies Traynor Group plc,Industrials,Consulting Services,0.00,116.50 - 117.28,118.00 - 121.27,1.50 - 4.77,115.32,230.58,249465,4,0.3,2
@_,BEM.L,Beowulf Mining plc,Basic Materials,Other Industrial Metals & Mining,0.00,10.01 - 10.13,10.21 - 10.50,0.20 - 0.49,10.50,719.14,34820,2,0.489,4
@_,BERI.L,BlackRock Energy and Resources Inc,Financial Services,Asset Management,1.25,121.00 - 121.74,122.50 - 123.26,1.50 - 2.26,122.28,237.80,214845,4,UNKNOWN,4
*_,BEZ.L,Beazley plc,Financial Services,Insurance Specialty,1.67,777.50 - 920.00,788.50 - 930.50,11.00 - 153.00,780.50,186.00,3321112,6,0.504,3
@_,BGCG.L,Baillie Gifford China Growth Trust PLC,UNKNOWN,UNKNOWN,2.00,268.00 - 268.00,272.36 - 274.27,4.36 - 6.27,268.50,275.40,74566,3,UNKNOWN,3
*_,BGEU.L,Baillie Gifford European Growth Ord,Financial Services,Asset Management,1.00,101.26 - 101.26,103.50 - 103.50,2.24 - 2.24,100.00,109.76,750389,5,UNKNOWN,1
@_,BGFD.L,Baillie Gifford Japan Ord,Financial Services,Asset Management,0.80,851.67 - 886.00,865.00 - 901.74,13.33 - 50.07,900.48,320.70,148275,3,UNKNOWN,5
@_,BGO.L,Bango PLC,Technology,Software Infrastructure,0.14,82.57 - 87.25,84.30 - 90.00,1.74 - 7.43,87.50,1332.56,44501,2,0.647,7
@_,BGS.L,Baillie Gifford Shin Nippon Ord,Financial Services,Asset Management,3.50,131.68 - 132.26,133.60 - 134.34,1.93 - 2.66,134.38,148.00,822117,5,UNKNOWN,2
*_,BGUK.L,Baillie Gifford UK Growth Trust Ord,Financial Services,Asset Management,0.00,206.56 - 206.56,209.00 - 209.00,2.44 - 2.44,199.23,58.56,224339,4,UNKNOWN,1
@_,BHL.L,Bradda Head Lithium Limited,Basic Materials,Other Industrial Metals & Mining,0.00,0.92 - 0.93,0.95 - 1.00,0.03 - 0.08,0.95,1294.96,235715,4,-0.41,6
@_,BHMG.L,BH Macro GBP Ord,Financial Services,Asset Management,2.50,386.50 - 388.50,391.00 - 395.97,4.50 - 9.47,394.00,143.64,609472,5,UNKNOWN,2
@_,BHP.L,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining,1.67,1932.00 - 1984.50,1971.50 - 2020.00,39.50 - 88.00,2002.00,230.00,653487,5,0.705,3
*_,BIG.L,Big Technologies PLC,Technology,Software Application,1.00,83.00 - 89.20,85.85 - 94.80,2.85 - 11.80,88.20,797.80,305570,4,0.497,3
*_,BILN.L,Billington Holdings Plc,Industrials,Engineering & Construction,0.33,352.00 - 365.66,356.20 - 370.00,4.20 - 18.00,355.00,228.97,19502,2,0.445,3
@_,BIOG.L,Biotech Growth Ord,Financial Services,Asset Management,1.25,811.20 - 835.92,823.64 - 851.12,12.44 - 39.92,848.00,381.28,123923,3,UNKNOWN,4
@_,BIPS.L,Invesco Bond Income Plus Ord,Financial Services,Asset Management,1.00,171.62 - 172.80,176.00 - 176.00,4.38 - 4.38,175.00,309.58,437826,4,UNKNOWN,3
*_,BIRD.L,Blackbird plc,Technology,Software Application,0.38,2.68 - 3.20,2.90 - 3.30,0.22 - 0.62,2.75,2065.81,848947,5,0.68,8
@_,BIRG.L,Bank of Ireland Group plc,Financial Services,Banks Regional,2.00,11.92 - 12.86,12.70 - 13.18,0.78 - 1.26,13.24,601.84,290399,4,0.699,3
@_,BISI.L,Bisichi PLC,Energy,Thermal Coal,0.25,100.00 - 111.00,114.00 - 117.00,14.00 - 17.00,115.00,1744.90,6874,1,-0.358,4
