I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk
@_,AAF.L,Airtel Africa Plc,Communication Services,Telecom Services,2.00,177.70 - 178.60,181.80 - 186.60,4.10 - 8.90,185.30,330.80,3001267,6,0.666
@_,AAIF.L,Aberdeen Asian Income Fund Limited,Financial Services,Asset Management,7.00,226.00 - 226.00,229.00 - 229.00,3.00 - 3.00,229.00,66.00,UNKNOWN,0,UNKNOWN
@_,AAL.L,Anglo American plc,Basic Materials,Other Industrial Metals & Mining,1.00,2177.00 - 2219.00,2238.00 - 2279.00,61.00 - 102.00,2252.00,414.00,2092067,6,0.938
@_,AAS.L,abrdn Asia Focus plc,Financial Services,Asset Management,2.00,325.00 - 325.00,331.00 - 331.00,6.00 - 6.00,332.00,90.00,285584,4,UNKNOWN
@_,AAU.L,Ariana Resources plc,Basic Materials,Gold,0.80,1.38 - 1.46,1.48 - 1.53,0.10 - 0.15,1.48,1394.75,3634781,6,0.658
@_,AAZ.L,Anglo Asian Mining PLC,Basic Materials,Gold,0.33,155.00 - 168.78,164.00 - 175.00,9.00 - 20.00,173.44,1231.03,65008,3,0.947
@_,ABDN.L,Aberdeen Group Plc,Financial Services,Asset Management,1.50,187.20 - 188.80,190.60 - 192.40,3.40 - 5.20,192.20,379.60,3946124,6,1.321
*_,ABDP.L,AB Dynamics plc,Consumer Cyclical,Auto Parts,1.50,1500.00 - 1680.00,1630.00 - 1715.00,130.00 - 215.00,1535.50,460.00,29011,2,0.132
@_,ABDX.L,Abingdon Health Plc,Healthcare,Diagnostics & Research,0.00,6.53 - 6.55,6.89 - 7.00,0.36 - 0.47,6.75,979.13,33626,2,0.225
@_,ABF.L,Associated British Foods plc,Consumer Defensive,Packaged Foods,2.00,2040.00 - 2040.00,2086.00 - 2086.00,46.00 - 46.00,2056.00,92.00,902083,5,1.198
@_,ACG.L,ACG Metals Limited,Basic Materials,Other Industrial Metals & Mining,3.00,540.20 - 570.00,575.00 - 585.00,34.80 - 44.80,582.50,598.20,3151,1,UNKNOWN
@_,ACRM.L,Acuity RM Group Plc Ord,Technology,Software Application,4.00,1.10 - 1.10,1.25 - 1.25,0.15 - 0.15,1.15,681.75,2363896,6,UNKNOWN
@_,ACSO.L,accesso Technology Group plc,Technology,Software Application,0.00,364.00 - 364.00,386.64 - 386.64,22.64 - 22.64,395.19,294.32,68452,3,1.073
@_,ADF.L,Facilities by ADF plc,Consumer Cyclical,Recreational Vehicles,1.00,17.17 - 20.25,17.40 - 22.42,0.23 - 5.26,22.00,1895.23,649359,5,0.451
@_,ADIG.L,abrdn Diversified Income & Growth Ord,UNKNOWN,UNKNOWN,6.00,45.70 - 45.70,47.00 - 47.00,1.30 - 1.30,46.80,141.70,394895,4,UNKNOWN
*_,ADM.L,Admiral Group plc,Financial Services,Insurance Property & Casualty,4.00,3286.00 - 3286.00,3370.00 - 3370.00,84.00 - 84.00,3264.00,84.00,494091,4,0.289
@_,ADT1.L,Adriatic Metals PLC,Basic Materials,Other Industrial Metals & Mining,0.40,270.00 - 277.50,273.50 - 282.00,3.50 - 12.00,280.98,405.00,375366,4,0.751
@_,ADVT.L,AdvancedAdvT Limited,Technology,Software Application,0.67,155.00 - 166.90,161.78 - 171.20,6.78 - 16.20,170.00,810.39,226062,4,0.423
*_,AEG.L,Active Energy Group Plc,Industrials,Pollution & Treatment Controls,0.40,0.25 - 0.32,0.33 - 0.35,0.08 - 0.10,0.21,6163.80,8571592,7,0.504
@_,AEI.L,abrdn Equity Income Trust Ord,Financial Services,Asset Management,7.00,357.00 - 357.00,365.00 - 365.00,8.00 - 8.00,365.00,112.00,98536,3,UNKNOWN
@_,AEO.L,Aeorema Communications plc,Communication Services,Entertainment,0.00,45.44 - 45.44,48.70 - 48.70,3.26 - 3.26,47.50,358.60,1441,1,0.594
*_,AEP.L,Anglo-Eastern Plantations Plc,Consumer Defensive,Farm Products,0.67,827.20 - 868.00,843.27 - 884.00,16.07 - 56.80,864.00,226.42,17747,2,0.349
@_,AET.L,Afentra plc,Energy,Oil & Gas E&P,1.00,45.77 - 48.30,47.20 - 49.90,1.43 - 4.13,49.10,740.66,689399,5,-0.152
@_,AEWU.L,AEW UK REIT Ord,Real Estate,REIT Diversified,2.50,106.80 - 108.40,108.80 - 110.40,2.00 - 3.60,109.00,184.00,409911,4,UNKNOWN
@_,AEX.L,Aminex PLC,Energy,Oil & Gas E&P,0.20,1.13 - 1.46,1.24 - 1.52,0.11 - 0.39,1.48,4261.20,4930007,6,-1.0
*_,AFC.L,AFC Energy plc,Industrials,Electrical Equipment & Parts,0.20,14.54 - 16.70,15.28 - 16.91,0.74 - 2.37,15.45,1453.19,4160932,6,3.393
@_,AFP.L,African Pioneer PLC,Basic Materials,Other Industrial Metals & Mining,4.00,0.60 - 0.60,1.04 - 1.04,0.44 - 0.44,0.98,3666.52,1113588,6,0.654
@_,AFRN.L,Aferian Plc,Communication Services,Broadcasting,0.00,3.60 - 4.03,4.30 - 4.30,0.70 - 0.70,4.30,4028.03,26676,2,0.067
@_,AGFX.L,Argentex Group PLC,Financial Services,Capital Markets,0.83,2.46 - 2.70,2.70 - 3.15,0.24 - 0.69,2.70,4907.52,970710,5,0.688
*_,AGL.L,ANGLE plc,Healthcare,Diagnostics & Research,0.67,6.21 - 6.99,6.35 - 7.45,0.14 - 1.23,6.35,889.13,887516,5,0.08
@_,AGT.L,AVI Global Trust Ord,Financial Services,Asset Management,4.00,240.00 - 240.00,245.00 - 245.00,5.00 - 5.00,245.00,100.00,1344707,6,UNKNOWN
@_,AGVI.L,Aberforth Geared Value & Income Ord,Financial Services,Asset Management,3.00,83.00 - 83.50,85.00 - 85.25,2.00 - 2.25,85.00,223.25,66138,3,UNKNOWN
@_,AGY.L,Allergy Therapeutics plc,Healthcare,Drug Manufacturers Specialty & Generic,0.25,7.47 - 7.91,8.00 - 8.10,0.53 - 0.63,8.25,1605.13,333940,4,1.007
@_,AHT.L,Ashtead Group plc,Industrials,Rental & Leasing Services,1.25,4679.00 - 4748.00,4773.00 - 4918.00,94.00 - 239.00,4824.00,442.00,876381,5,1.08
*_,AIBG.L,AIB Group plc,Financial Services,Banks Regional,2.00,586.00 - 596.00,596.00 - 606.00,10.00 - 20.00,594.00,256.00,918494,5,1.227
@_,AIE.L,Ashoka India Equity Investment Ord,Financial Services,Asset Management,2.00,280.00 - 280.00,284.00 - 284.00,4.00 - 4.00,284.00,68.00,250703,4,UNKNOWN
*_,AIEA.L,AIREA plc,Consumer Cyclical,Textile Manufacturing,0.00,26.30 - 26.30,27.50 - 27.50,1.20 - 1.20,25.50,228.00,2801,1,0.83
@_,AIQ.L,AIQ Limited,Technology,Software Application,3.00,2.26 - 2.26,4.73 - 4.73,2.47 - 2.47,4.00,5463.64,16065,2,0.473
@_,AJB.L,AJ Bell plc,Financial Services,Asset Management,1.67,497.60 - 510.00,516.00 - 525.00,18.40 - 27.40,524.00,409.50,714960,5,0.918
*_,ALFA.L,Alfa Financial Software Holdings PLC,Technology,Software Application,0.33,218.45 - 220.23,221.47 - 223.00,3.02 - 4.55,219.00,182.38,169038,3,-0.16
*_,ALK.L,Alkemy Capital Investments Plc,Financial Services,Shell Companies,0.50,152.50 - 162.50,155.00 - 167.20,2.50 - 14.70,159.25,865.13,26868,2,0.585
@_,ALL.L,Atlantic Lithium Limited,Basic Materials,Other Industrial Metals & Mining,0.45,6.50 - 7.24,6.80 - 7.58,0.30 - 1.08,7.26,2848.74,651052,5,-0.575
@_,ALPH.L,Alpha Group International plc,Financial Services,Capital Markets,1.20,3085.00 - 3350.00,3135.00 - 3400.00,50.00 - 315.00,3380.00,355.00,336506,4,1.24
@_,ALRT.L,Defence Holdings Plc,Industrials,Aerospace & Defense,0.50,0.32 - 0.39,0.43 - 0.45,0.11 - 0.13,0.43,2491.13,19177127,8,UNKNOWN
*_,ALT.L,Altitude Group plc,Technology,Software Application,0.00,24.01 - 24.61,24.50 - 25.00,0.49 - 0.99,23.50,242.89,35998,2,0.962
@_,ALTN.L,AltynGold plc,Basic Materials,Gold,0.50,508.00 - 537.41,519.84 - 558.00,11.84 - 50.00,557.80,826.38,57641,3,0.935
@_,ALU.L,The Alumasc Group plc,Industrials,Building Products & Equipment,1.00,331.50 - 331.50,362.50 - 362.50,31.00 - 31.00,360.00,465.00,58040,3,0.562
@_,ALW.L,Alliance Witan Ord,Financial Services,Asset Management,3.00,1232.00 - 1232.00,1258.00 - 1258.00,26.00 - 26.00,1254.00,104.00,423394,4,UNKNOWN
@_,AMCO.L,Amcomri Group plc,Industrials,Conglomerates,0.67,96.00 - 99.94,102.00 - 104.44,6.00 - 8.44,105.50,647.88,344639,4,UNKNOWN
@_,AMG.L,Atlas Metals Group plc,Basic Materials,Other Industrial Metals & Mining,2.00,13.10 - 13.10,14.95 - 14.95,1.85 - 1.85,14.00,704.85,30260,2,0.497
@_,AMGO.L,Amigo Holdings PLC,Financial Services,Credit Services,0.00,0.27 - 0.33,0.34 - 0.44,0.07 - 0.17,0.35,9452.05,4543708,6,1.253
*_,AML.L,Aston Martin Lagonda Global Holdings plc,Consumer Cyclical,Auto Manufacturers,0.33,79.31 - 81.70,81.40 - 83.50,2.09 - 4.19,79.80,413.54,1655096,6,2.223
*_,AMOI.L,Anemoi International Limited,Technology,Software Application,0.67,1.73 - 1.98,1.95 - 2.80,0.22 - 1.07,1.65,4427.16,3400260,6,-0.173
@_,AMRQ.L,Amaroq Minerals Ltd.,Basic Materials,Gold,1.00,74.40 - 74.40,76.70 - 76.70,2.30 - 2.30,77.00,154.10,341417,4,-0.101
@_,AMS.L,Advanced Medical Solutions Group plc,Healthcare,Medical Instruments & Supplies,0.67,202.29 - 205.50,207.83 - 210.02,5.54 - 7.74,204.50,354.96,455744,4,0.766
@_,ANCR.L,Animalcare Group plc,Healthcare,Drug Manufacturers Specialty & Generic,1.33,290.00 - 293.70,296.00 - 299.50,6.00 - 9.50,296.00,308.55,266539,4,0.416
*_,ANG.L,Angling Direct PLC,Consumer Cyclical,Specialty Retail,0.17,45.45 - 48.56,46.96 - 50.00,1.51 - 4.55,46.00,648.90,37510,2,0.76
@_,ANIC.L,Agronomics Limited,Financial Services,Asset Management,0.17,7.21 - 8.80,7.43 - 9.58,0.21 - 2.37,9.40,2356.68,5474264,7,1.393
*_,ANP.L,Anpario plc,Consumer Defensive,Packaged Foods,0.75,410.00 - 425.22,425.95 - 436.80,15.95 - 26.80,420.00,592.04,16284,2,0.701
@_,ANTO.L,Antofagasta plc,Basic Materials,Copper,2.00,1863.50 - 1886.00,1896.50 - 1934.00,33.00 - 70.50,1889.50,286.54,1020112,6,1.229
*_,ANX.L,Anexo Group Plc,Industrials,Rental & Leasing Services,1.67,65.51 - 66.67,67.00 - 68.00,1.49 - 2.49,66.00,287.99,24202,2,0.404
@_,AO.L,AO World plc,Consumer Cyclical,Specialty Retail,1.50,96.52 - 97.20,98.00 - 98.60,1.48 - 2.08,97.96,319.77,365321,4,0.908
*_,AOM.L,ActiveOps Plc,Technology,Software Application,1.00,146.50 - 161.12,149.90 - 163.00,3.40 - 16.50,158.50,952.48,231500,4,0.469
@_,AOTI.L,AOTI  Inc.,Healthcare,Medical Devices,0.00,87.50 - 89.50,90.00 - 90.90,2.50 - 3.40,90.00,219.50,6715,1,UNKNOWN
@_,APAX.L,Apax Global Alpha Ord,Financial Services,Asset Management,7.00,126.40 - 126.40,128.80 - 128.80,2.40 - 2.40,128.80,93.60,UNKNOWN,0,UNKNOWN
@_,API.L,abrdn Property Income Trust Ord,Real Estate,REIT Diversified,2.50,5.25 - 5.26,5.32 - 5.36,0.07 - 0.11,5.36,161.72,UNKNOWN,0,UNKNOWN
@_,APN.L,Applied Nutrition Plc,Consumer Defensive,Packaged Foods,1.00,124.00 - 126.66,126.27 - 128.07,2.27 - 4.07,128.60,353.79,67669,3,UNKNOWN
@_,APTA.L,Aptamer Group PLC,Healthcare,Biotechnology,0.60,0.36 - 0.38,0.39 - 0.43,0.03 - 0.06,0.40,1737.44,25593684,8,-0.237
*_,APTD.L,Aptitude Software Group plc,Technology,Software Application,1.50,325.00 - 333.00,337.00 - 338.35,12.00 - 13.35,312.00,260.25,67056,3,0.173
@_,ARA.L,Aura Renewable Acquisitions plc,Financial Services,Shell Companies,0.00,3.18 - 3.18,4.00 - 4.00,0.82 - 0.82,3.75,1289.04,36684,2,0.066
@_,ARB.L,Argo Blockchain plc,Financial Services,Capital Markets,7.00,1.53 - 1.53,2.40 - 2.40,0.87 - 0.87,2.33,2850.12,21420042,8,3.327
@_,ARBB.L,Arbuthnot Banking Group PLC,Financial Services,Banks Regional,1.00,930.00 - 952.25,950.00 - 1000.00,20.00 - 70.00,967.50,843.75,2912,1,0.695
@_,ARC.L,Arcontech Group plc,Technology,Software Application,0.75,86.04 - 90.55,88.00 - 91.96,1.96 - 5.92,91.50,591.79,5732,1,0.197
@_,ARCM.L,Arc Minerals Limited,Basic Materials,Other Industrial Metals & Mining,0.33,0.96 - 0.99,0.99 - 1.09,0.02 - 0.12,1.05,1231.23,2521059,6,-0.045
@_,AREC.L,Arecor Therapeutics plc,Healthcare,Biotechnology,3.00,42.02 - 44.75,45.00 - 48.40,2.98 - 6.38,48.00,756.79,34413,2,-0.331
@_,ARK.L,Arkle Resources PLC,Basic Materials,Other Industrial Metals & Mining,2.00,0.22 - 0.22,0.31 - 0.31,0.09 - 0.09,0.29,2045.43,1690675,6,-0.256
@_,ARS.L,Asiamet Resources Limited,Basic Materials,Other Industrial Metals & Mining,0.00,0.97 - 0.98,0.99 - 1.06,0.02 - 0.10,1.02,1232.64,2102867,6,0.918
@_,ART.L,The Artisanal Spirits Company plc,Consumer Defensive,Beverages Wineries & Distilleries,1.00,47.05 - 49.50,49.97 - 50.38,2.92 - 3.33,49.50,673.17,16078,2,0.131
@_,ARV.L,Artemis Resources Limited,Basic Materials,Other Industrial Metals & Mining,0.40,0.25 - 0.27,0.28 - 0.29,0.03 - 0.04,0.28,2333.47,144287,3,-0.383
@_,ASAI.L,ASA International Group PLC,Financial Services,Credit Services,0.67,142.00 - 150.50,151.90 - 155.00,9.90 - 13.00,146.50,1065.90,4431,1,1.379
@_,ASC.L,ASOS Plc,Consumer Cyclical,Internet Retail,1.50,305.34 - 313.50,311.25 - 320.65,5.91 - 15.31,317.50,436.21,162575,3,2.164
@_,ASHM.L,Ashmore Group Plc,Financial Services,Asset Management,1.33,156.28 - 162.20,160.90 - 169.10,4.62 - 12.82,168.40,561.02,1167721,6,0.96
@_,ASLI.L,abrdn European Logistics Income PLC,Financial Services,Asset Management,4.00,61.60 - 61.60,64.40 - 64.40,2.80 - 2.80,64.40,226.80,947154,5,UNKNOWN
@_,AST.L,Ascent Resources Plc,Energy,Oil & Gas E&P,0.50,0.40 - 0.40,0.50 - 0.50,0.10 - 0.10,0.43,2499.80,1253351,6,-1.297
@_,ASY.L,Andrews Sykes Group plc,Industrials,Rental & Leasing Services,0.83,515.00 - 532.50,539.00 - 550.00,24.00 - 35.00,532.50,1148.85,1932,1,0.371
@_,AT.L,Ashtead Technology Holdings Plc,Energy,Oil & Gas Equipment & Services,0.75,436.54 - 454.50,455.00 - 461.98,18.46 - 25.44,461.50,590.37,274697,4,0.16
*_,ATG.L,Auction Technology Group plc,Technology,Software Application,0.67,463.50 - 497.50,472.00 - 507.00,8.50 - 43.50,495.50,550.00,329908,4,UNKNOWN
*_,ATM.L,Andrada Mining Limited,Basic Materials,Other Industrial Metals & Mining,0.00,2.83 - 2.83,2.90 - 2.97,0.08 - 0.15,2.80,371.28,2292825,6,0.529
@_,ATN.L,Aterian plc,Basic Materials,Other Industrial Metals & Mining,1.25,35.00 - 36.00,36.50 - 40.00,1.50 - 5.00,36.50,1882.10,15668,2,0.088
*_,ATOM.L,Atome Plc,Utilities,Utilities Renewable,0.00,51.15 - 55.11,54.00 - 60.00,2.85 - 8.85,53.50,2135.14,87667,3,0.533
@_,ATR.L,Schroder Asian Total Return Inv. Company,Financial Services,Asset Management,6.00,463.00 - 463.00,479.00 - 479.00,16.00 - 16.00,479.00,160.00,194136,3,UNKNOWN
@_,ATT.L,Allianz Technology Trust Ord,Financial Services,Asset Management,5.00,426.50 - 426.50,433.00 - 433.00,6.50 - 6.50,432.50,71.50,717336,5,UNKNOWN
@_,ATYM.L,Atalaya Mining Copper  S.A.,Basic Materials,Copper,2.50,448.00 - 459.50,468.50 - 478.70,20.50 - 30.70,481.00,417.50,278815,4,1.221
*_,AURA.L,Aura Energy Limited,Energy,Uranium,0.33,7.11 - 7.80,7.50 - 8.07,0.39 - 0.96,7.25,1084.52,132421,3,-1.03
@_,AURR.L,Aurrigo International plc,Consumer Cyclical,Auto Parts,2.00,94.00 - 101.26,102.50 - 104.00,8.50 - 10.00,102.50,731.39,6919,1,0.367
@_,AUSC.L,abrdn UK Smaller Companies Growth Ord,Financial Services,Asset Management,3.00,522.00 - 522.00,531.00 - 531.00,9.00 - 9.00,528.00,81.00,161106,3,UNKNOWN
@_,AUTG.L,Autins Group plc,Consumer Cyclical,Auto Parts,1.33,8.00 - 9.50,9.50 - 10.85,1.50 - 2.85,10.00,2787.17,75713,3,0.529
@_,AUTO.L,Auto Trader Group plc,Communication Services,Internet Content & Information,2.00,806.40 - 809.00,816.40 - 825.00,10.00 - 18.60,823.00,226.80,1678991,6,0.653
@_,AV.L,Aviva plc,Financial Services,Insurance Diversified,1.50,603.80 - 614.80,610.60 - 622.40,6.80 - 18.60,625.53,235.20,9307594,7,0.812
@_,AVAP.L,Avation PLC,Industrials,Rental & Leasing Services,0.80,155.50 - 162.36,157.71 - 165.36,2.21 - 9.86,162.50,452.43,256915,4,0.502
@_,AVCT.L,Avacta Group Plc,Healthcare,Biotechnology,0.00,28.00 - 32.50,30.39 - 34.00,2.39 - 6.00,32.00,1229.09,1930570,6,-0.284
@_,AVG.L,Avingtrans plc,Industrials,Specialty Industrial Machinery,1.50,418.10 - 420.00,422.75 - 430.00,4.65 - 11.90,420.00,274.45,20982,2,0.385
@_,AVON.L,Avon Technologies Plc,Industrials,Aerospace & Defense,1.25,1930.00 - 1990.00,1974.00 - 2060.69,44.00 - 130.69,2065.00,352.56,145135,3,0.248
*_,AWE.L,Alphawave IP Group plc,Technology,Semiconductors,0.00,172.30 - 175.20,174.56 - 178.40,2.26 - 6.10,173.00,213.94,1183869,6,1.395
*_,AXL.L,Arrow Exploration Corp.,Energy,Oil & Gas E&P,1.00,17.56 - 17.75,17.95 - 18.00,0.40 - 0.44,17.50,434.89,548139,5,0.013
*_,AXS.L,Accsys Technologies PLC,Basic Materials,Lumber & Wood Production,1.50,64.00 - 64.00,64.95 - 65.40,0.95 - 1.40,61.20,183.30,193281,3,1.307
@_,AYM.L,Anglesey Mining plc,Basic Materials,Other Industrial Metals & Mining,0.00,0.77 - 0.77,0.82 - 0.87,0.05 - 0.10,0.82,2330.30,286850,4,2.14
@_,B90.L,B90 Holdings PLC,Consumer Cyclical,Gambling,1.00,2.50 - 2.70,2.60 - 2.90,0.10 - 0.40,2.70,1449.32,178335,3,0.294
@_,BA.L,BAE Systems plc,Industrials,Aerospace & Defense,2.33,1836.00 - 1870.50,1867.50 - 1897.50,31.50 - 61.50,1896.50,183.00,4764031,6,0.334
*_,BAB.L,Babcock International Group PLC,Industrials,Engineering & Construction,2.00,1071.00 - 1082.00,1086.00 - 1109.00,15.00 - 38.00,1076.00,168.00,2133416,6,1.309
*_,BAG.L,A.G. BARR p.l.c.,Consumer Defensive,Beverages Non-Alcoholic,2.00,683.00 - 691.89,695.00 - 701.00,12.00 - 18.00,686.00,147.77,130233,3,0.326
@_,BAKK.L,Bakkavor Group plc,Consumer Defensive,Packaged Foods,2.00,214.50 - 216.00,218.50 - 220.00,4.00 - 5.50,217.60,184.00,1632059,6,0.68
@_,BANK.L,Fiinu Plc,Financial Services,Credit Services,0.50,7.56 - 8.25,8.50 - 8.90,0.94 - 1.34,9.50,2864.39,295487,4,10.17
@_,BARC.L,Barclays PLC,Financial Services,Banks Diversified,1.67,325.15 - 333.85,333.25 - 344.60,8.10 - 19.45,340.00,369.50,32991676,8,1.06
@_,BASC.L,Brown Advisory US Smaller Companies Ord,Financial Services,Asset Management,7.00,1287.50 - 1287.50,1320.00 - 1320.00,32.50 - 32.50,1305.00,97.50,10346,2,UNKNOWN
@_,BATS.L,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,1.00,3423.00 - 3698.00,3502.00 - 3753.00,79.00 - 330.00,3761.00,409.58,6548773,7,0.151
@_,BBB.L,Bigblu Broadband plc,Communication Services,Telecom Services,0.50,20.89 - 22.00,23.00 - 24.00,2.11 - 3.11,22.00,1904.68,17485,2,0.02
@_,BBH.L,Bellevue Healthcare Ord,Financial Services,Asset Management,3.00,118.20 - 118.20,121.40 - 121.40,3.20 - 3.20,119.40,134.40,1287683,6,UNKNOWN
*_,BBSN.L,Brave Bison Group plc,Communication Services,Internet Content & Information,0.29,2.90 - 3.31,3.06 - 3.55,0.15 - 0.65,3.27,2039.13,18155945,8,0.516
@_,BBY.L,Balfour Beatty plc,Industrials,Engineering & Construction,1.67,509.00 - 510.50,517.00 - 518.50,8.00 - 9.50,516.50,220.05,733697,5,0.703
@_,BC94.L,Samsung Electronics Co.  Ltd.,Technology,Consumer Electronics,1.00,1095.00 - 1106.00,1131.00 - 1165.00,36.00 - 70.00,1131.00,380.00,256,1,0.739
@_,BCG.L,Baltic Classifieds Group PLC,Communication Services,Internet Content & Information,0.80,321.50 - 349.50,332.50 - 358.50,11.00 - 37.00,361.00,778.00,1888924,6,1.404
@_,BEG.L,Begbies Traynor Group plc,Industrials,Consulting Services,1.00,108.50 - 120.80,110.50 - 123.68,2.00 - 15.18,124.00,875.18,1013949,6,0.297
@_,BELL.L,Belluscura plc,Healthcare,Medical Devices,0.00,0.73 - 0.73,0.75 - 0.80,0.02 - 0.07,0.75,616.98,282100,4,0.707
@_,BEM.L,Beowulf Mining plc,Basic Materials,Other Industrial Metals & Mining,2.00,10.36 - 10.36,10.99 - 10.99,0.63 - 0.63,10.50,303.66,11353,2,0.491
@_,BERI.L,BlackRock Energy and Resources Inc,Financial Services,Asset Management,1.00,116.50 - 117.50,118.00 - 119.00,1.50 - 2.50,118.50,126.00,207518,4,UNKNOWN
*_,BEZ.L,Beazley plc,Financial Services,Insurance Specialty,1.00,897.00 - 897.00,915.00 - 915.00,18.00 - 18.00,892.00,90.00,2034296,6,0.498
@_,BGCG.L,Baillie Gifford China Growth Trust Ord,Financial Services,Asset Management,5.00,244.50 - 244.50,249.00 - 249.00,4.50 - 4.50,248.00,90.00,106615,3,UNKNOWN
@_,BGEU.L,Baillie Gifford European Growth Ord,Financial Services,Asset Management,6.00,103.50 - 103.50,107.00 - 107.00,3.50 - 3.50,106.50,168.00,398530,4,UNKNOWN
*_,BGO.L,Bango PLC,Technology,Software Infrastructure,0.17,90.13 - 90.89,91.68 - 93.88,1.55 - 3.75,90.50,602.25,27433,2,0.63
@_,BGS.L,Baillie Gifford Shin Nippon Ord,Financial Services,Asset Management,3.00,124.00 - 124.00,125.60 - 125.60,1.60 - 1.60,124.60,64.00,434498,4,UNKNOWN
*_,BHL.L,Bradda Head Lithium Limited,Basic Materials,Other Industrial Metals & Mining,0.20,0.98 - 1.02,1.04 - 1.08,0.06 - 0.09,0.98,1446.87,621666,5,-0.423
@_,BHP.L,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining,2.00,1800.00 - 1887.50,1874.50 - 1917.00,74.50 - 117.00,1910.00,345.00,1291915,6,0.726
*_,BIG.L,Big Technologies PLC,Technology,Software Application,0.33,88.20 - 93.60,91.20 - 94.60,3.00 - 6.40,89.15,312.69,227328,4,0.509
*_,BIH.L,Boston International Holdings Plc,Financial Services,Shell Companies,0.00,0.31 - 0.50,0.44 - 0.78,0.12 - 0.47,0.45,9684.27,1574629,6,0.352
@_,BILN.L,Billington Holdings Plc,Industrials,Engineering & Construction,1.00,375.50 - 380.00,382.50 - 386.00,7.00 - 10.50,382.50,248.56,13708,2,0.443
@_,BIOG.L,Biotech Growth Ord,Financial Services,Asset Management,3.00,740.00 - 740.00,780.00 - 780.00,40.00 - 40.00,778.00,240.00,118381,3,UNKNOWN
*_,BIRD.L,Blackbird plc,Technology,Software Application,0.14,2.83 - 2.96,2.99 - 3.25,0.16 - 0.42,2.90,2456.65,1204981,6,0.562
*_,BIRG.L,Bank of Ireland Group plc,Financial Services,Banks Regional,1.50,12.04 - 12.32,12.18 - 12.55,0.14 - 0.51,12.14,377.85,271265,4,0.685
*_,BISI.L,Bisichi PLC,Energy,Thermal Coal,0.00,104.44 - 107.90,107.50 - 119.25,3.06 - 14.81,107.50,665.92,10629,2,-0.412
@_,BKG.L,The Berkeley Group Holdings plc,Consumer Cyclical,Residential Construction,0.50,3574.00 - 3585.00,3680.00 - 3700.00,106.00 - 126.00,3682.00,221.00,671142,5,1.166
*_,BKS.L,Beeks Financial Cloud Group plc,Technology,Software Infrastructure,0.33,214.04 - 224.12,216.85 - 230.00,2.81 - 15.96,211.40,498.59,72201,3,0.069
@_,BKY.L,Berkeley Energia Limited,Energy,Uranium,0.00,26.07 - 26.07,27.84 - 27.84,1.77 - 1.77,26.10,338.07,197053,3,1.736
*_,BLND.L,British Land Company PLC,Real Estate,REIT Diversified,1.00,354.60 - 354.60,360.00 - 360.00,5.40 - 5.40,349.60,75.60,3176582,6,1.392
@_,BLOE.L,Block Energy Plc,Energy,Oil & Gas E&P,0.14,0.91 - 0.93,0.93 - 0.95,0.02 - 0.04,0.93,870.86,618978,5,0.14
