I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Num of Trades
@_,ACG.L,ACG Metals Limited,Basic Materials,Other Industrial Metals & Mining,1.00,630.00 - 635.00,640.00 - 663.80,10.00 - 33.80,647.50,411.60,5522,1,-1.434,3
@_,ACRM.L,Acuity RM Group Plc Ord,Technology,Software Application,0.00,1.10 - 1.10,1.12 - 1.15,0.02 - 0.05,1.12,408.69,390841,4,UNKNOWN,3
*_,ACSO.L,accesso Technology Group plc,Technology,Software Application,0.71,407.00 - 417.77,413.20 - 430.00,6.20 - 23.00,415.00,719.65,82468,3,1.109,7
*_,ADF.L,Facilities by ADF plc,Consumer Cyclical,Recreational Vehicles,0.00,18.99 - 20.25,19.82 - 20.60,0.83 - 1.61,19.50,1016.87,238622,4,0.404,5
@_,ADIG.L,abrdn Diversified Income & Growth Ord,Financial Services,Asset Management,0.11,46.83 - 48.59,47.82 - 49.20,0.99 - 2.37,48.40,957.18,396553,4,UNKNOWN,9
@_,ADM.L,Admiral Group plc,Financial Services,Insurance Property & Casualty,1.50,3336.00 - 3618.00,3609.73 - 3680.85,273.73 - 344.85,3662.00,470.75,523417,5,0.274,4
@_,ADT1.L,Adriatic Metals PLC,Basic Materials,Other Industrial Metals & Mining,0.71,287.00 - 307.00,291.50 - 317.00,4.50 - 30.00,311.00,655.16,244099,4,0.715,7
*_,ADVT.L,AdvancedAdvT Limited,Technology,Software Application,0.18,200.00 - 210.45,203.00 - 215.00,3.00 - 15.00,200.00,1373.31,232943,4,0.394,11
@_,AEG.L,Active Energy Group Plc,Industrials,Pollution & Treatment Controls,0.00,0.12 - 0.14,0.15 - 0.24,0.03 - 0.11,0.14,6265.38,58733974,9,0.639,3
@_,AEI.L,Aberdeen Equity Income Trust,Financial Services,Asset Management,2.67,371.11 - 374.00,375.48 - 378.95,4.37 - 7.84,378.50,181.87,87668,3,UNKNOWN,3
@_,AEO.L,Aeorema Communications plc,Communication Services,Entertainment,0.00,53.55 - 53.55,54.50 - 54.50,0.95 - 0.95,54.50,176.70,9820,1,0.561,2
@_,AEP.L,Anglo-Eastern Plantations Plc,Consumer Defensive,Farm Products,0.40,1110.00 - 1193.75,1135.00 - 1235.00,25.00 - 125.00,1255.00,767.00,63987,3,0.371,5
@_,AET.L,Afentra plc,Energy,Oil & Gas E&P,0.57,45.90 - 47.56,46.70 - 49.17,0.80 - 3.27,48.70,885.99,471312,4,-0.138,7
*_,AEWU.L,AEW UK REIT Ord,Real Estate,REIT Diversified,0.80,104.20 - 106.00,105.35 - 108.80,1.15 - 4.60,104.20,605.83,267622,4,UNKNOWN,5
*_,AEX.L,Aminex PLC,Energy,Oil & Gas E&P,0.14,1.90 - 1.98,1.98 - 2.10,0.08 - 0.20,1.90,4339.30,4300321,6,-1.071,22
*_,AFC.L,AFC Energy plc,Industrials,Electrical Equipment & Parts,0.08,9.34 - 9.70,9.69 - 10.06,0.35 - 0.72,9.55,4840.45,6927892,7,3.531,39
@_,AFP.L,African Pioneer PLC,Basic Materials,Other Industrial Metals & Mining,0.17,0.95 - 1.00,1.03 - 1.10,0.08 - 0.15,1.10,3484.19,606635,5,0.582,6
@_,AFRN.L,Aferian Plc,Communication Services,Broadcasting,0.60,2.10 - 2.15,2.15 - 2.42,0.06 - 0.32,2.25,4002.14,890252,5,0.134,10
@_,AGL.L,ANGLE plc,Healthcare,Diagnostics & Research,0.12,5.00 - 6.38,5.25 - 6.90,0.25 - 1.90,6.50,4921.99,547263,5,0.116,16
@_,AGR.L,Assura Plc,Real Estate,REIT Healthcare Facilities,6.00,47.68 - 47.68,48.80 - 48.80,1.12 - 1.12,48.46,116.48,21688017,8,0.62,1
@_,AGT.L,AVI Global Trust Ord,Financial Services,Asset Management,0.67,258.50 - 260.30,262.00 - 263.67,3.50 - 5.17,263.77,181.64,438405,4,UNKNOWN,3
@_,AGVI.L,Aberforth Geared Value & Income Ord,Financial Services,Asset Management,1.00,80.50 - 80.50,82.75 - 82.75,2.25 - 2.25,82.75,139.50,91660,3,UNKNOWN,1
@_,AGY.L,Allergy Therapeutics plc,Healthcare,Drug Manufacturers Specialty & Generic,0.27,7.50 - 8.35,8.40 - 8.75,0.90 - 1.25,8.70,4790.02,185586,3,1.02,11
*_,AIBG.L,AIB Group plc,Financial Services,Banks Regional,0.40,614.00 - 630.00,624.00 - 642.00,10.00 - 28.00,626.00,368.75,14455898,8,1.239,5
@_,AIE.L,Ashoka India Equity Investment Ord,Financial Services,Asset Management,0.27,264.05 - 270.00,267.00 - 273.50,2.95 - 9.45,271.00,669.78,879569,5,UNKNOWN,11
@_,AIEA.L,AIREA plc,Consumer Cyclical,Textile Manufacturing,0.00,23.65 - 23.65,24.00 - 24.00,0.35 - 0.35,24.00,73.85,14006,2,0.867,1
@_,AIQ.L,AIQ Limited,Technology,Software Application,6.00,4.00 - 4.00,5.41 - 5.41,1.41 - 1.41,4.00,1762.50,55410,3,0.525,1
@_,AJB.L,AJ Bell plc,Financial Services,Asset Management,2.00,501.50 - 517.00,512.50 - 534.00,11.00 - 32.50,521.00,252.00,391406,4,0.897,2
*_,AJOT.L,AVI Japan Opportunity Ord,Financial Services,Asset Management,0.67,178.47 - 182.00,181.00 - 184.00,2.53 - 5.53,179.50,480.84,292091,4,UNKNOWN,6
@_,ALFA.L,Alfa Financial Software Holdings PLC,Technology,Software Application,0.62,215.00 - 223.00,220.50 - 229.00,5.50 - 14.00,226.50,804.00,168093,3,-0.176,8
@_,ALK.L,Alkemy Capital Investments Plc,Financial Services,Shell Companies,0.33,196.15 - 214.00,203.73 - 220.41,7.58 - 24.27,218.00,2291.43,54853,3,0.547,9
*_,ALL.L,Atlantic Lithium Limited,Basic Materials,Other Industrial Metals & Mining,0.05,7.46 - 8.40,7.75 - 8.58,0.29 - 1.12,8.00,7258.26,313433,4,-0.629,22
@_,ALRT.L,Defence Holdings Plc,Industrials,Aerospace & Defense,1.50,0.40 - 0.47,0.49 - 0.53,0.10 - 0.13,0.51,2790.33,69502022,9,UNKNOWN,4
@_,ALT.L,Altitude Group plc,Technology,Software Application,0.25,20.00 - 20.15,21.00 - 21.44,1.00 - 1.44,21.00,1040.64,19154,2,1.067,4
@_,ALTN.L,AltynGold plc,Basic Materials,Gold,0.14,626.00 - 676.00,638.80 - 700.00,12.80 - 74.00,700.00,2841.37,41552,2,0.905,22
*_,ALU.L,The Alumasc Group plc,Industrials,Building Products & Equipment,0.00,345.00 - 351.80,348.64 - 365.00,3.64 - 20.00,342.50,393.26,46756,2,0.572,4
@_,ALW.L,Alliance Witan Ord,Financial Services,Asset Management,9.00,1252.00 - 1252.00,1278.00 - 1278.00,26.00 - 26.00,1276.43,78.00,497250,4,UNKNOWN,1
*_,AMCO.L,Amcomri Group plc,Industrials,Conglomerates,0.33,136.00 - 139.00,137.89 - 142.00,1.89 - 6.00,128.00,828.24,89924,3,UNKNOWN,9
@_,AMG.L,Atlas Metals Group plc,Basic Materials,Other Industrial Metals & Mining,0.67,9.27 - 10.50,10.40 - 10.90,1.12 - 1.62,10.00,2933.27,63282,3,0.615,6
@_,AMGO.L,Amigo Holdings PLC,Financial Services,Credit Services,0.00,0.20 - 0.26,0.27 - 0.35,0.07 - 0.15,0.28,6556.88,696142,5,1.201,6
@_,AML.L,Aston Martin Lagonda Global Holdings plc,Consumer Cyclical,Auto Manufacturers,0.36,73.40 - 77.59,74.48 - 78.85,1.08 - 5.45,78.72,993.47,1022989,6,2.207,11
*_,AMOI.L,Anemoi International Limited,Technology,Software Application,0.00,0.91 - 0.92,0.95 - 0.96,0.04 - 0.06,0.85,714.94,495006,4,0.308,3
*_,AMRQ.L,Amaroq Ltd.,Basic Materials,Gold,0.00,68.04 - 70.19,69.00 - 71.00,0.96 - 2.96,67.50,488.22,703465,5,-0.162,6
@_,AMS.L,Advanced Medical Solutions Group plc,Healthcare,Medical Instruments & Supplies,0.80,202.50 - 205.89,205.00 - 208.50,2.50 - 6.00,207.50,393.12,331056,4,0.809,5
*_,ANCR.L,Animalcare Group plc,Healthcare,Drug Manufacturers Specialty & Generic,0.29,262.21 - 266.00,265.00 - 269.00,2.79 - 6.79,260.00,539.81,28952,2,0.43,7
@_,ANG.L,Angling Direct PLC,Consumer Cyclical,Specialty Retail,0.08,44.00 - 48.61,45.50 - 51.00,1.50 - 7.00,51.00,2059.84,63727,3,0.771,12
*_,ANIC.L,Agronomics Limited,Financial Services,Asset Management,0.14,7.30 - 7.76,7.48 - 7.90,0.18 - 0.60,7.40,2211.82,1842500,6,1.376,22
@_,ANII.L,Aberdeen New India Investment Trust PLC,UNKNOWN,UNKNOWN,0.57,777.80 - 799.00,792.00 - 808.00,14.20 - 30.20,804.00,606.60,30339,2,UNKNOWN,7
*_,ANP.L,Anpario plc,Consumer Defensive,Packaged Foods,0.25,383.10 - 421.72,392.00 - 429.40,8.90 - 46.30,418.41,1076.46,22282,2,0.703,8
@_,ANTO.L,Antofagasta plc,Basic Materials,Copper,0.33,2089.80 - 2108.00,2131.00 - 2166.00,41.20 - 76.20,2166.00,456.40,869559,5,1.213,6
@_,ANX.L,Anexo Group Plc,Industrials,Rental & Leasing Services,0.12,34.00 - 42.00,37.00 - 43.00,3.00 - 9.00,40.50,2029.53,661751,5,0.479,8
@_,AO.L,AO World plc,Consumer Cyclical,Specialty Retail,0.62,87.70 - 91.00,90.68 - 92.90,2.98 - 5.20,90.40,919.88,281829,4,0.89,8
@_,AOM.L,ActiveOps Plc,Technology,Software Application,0.75,160.75 - 164.00,168.00 - 177.45,7.25 - 16.70,174.00,1034.70,19597,2,0.437,4
@_,AOTI.L,AOTI  Inc.,Healthcare,Medical Devices,1.00,56.00 - 56.00,60.00 - 60.00,4.00 - 4.00,57.50,356.00,9290,1,UNKNOWN,1
@_,APAX.L,Apax Global Alpha Ord,Financial Services,Asset Management,6.00,162.20 - 162.20,164.40 - 164.40,2.20 - 2.20,163.60,66.00,2603102,6,UNKNOWN,1
*_,API.L,abrdn Property Income Trust Ord,Real Estate,REIT Diversified,0.04,5.40 - 5.50,5.59 - 5.80,0.19 - 0.40,5.40,6330.93,312177,4,UNKNOWN,28
@_,APN.L,Applied Nutrition Plc,Consumer Defensive,Packaged Foods,0.36,131.00 - 163.17,132.57 - 165.80,1.57 - 34.80,165.00,1775.44,519144,5,UNKNOWN,14
@_,APTA.L,Aptamer Group PLC,Healthcare,Biotechnology,2.50,0.61 - 0.62,0.73 - 0.73,0.12 - 0.12,0.73,1870.56,33360196,8,-0.197,2
@_,APTD.L,Aptitude Software Group plc,Technology,Software Application,1.25,268.00 - 271.16,275.00 - 281.00,7.00 - 13.00,280.00,609.12,42975,2,0.19,4
@_,ARA.L,Aura Renewable Acquisitions plc,Financial Services,Shell Companies,0.00,4.02 - 4.02,5.00 - 5.00,0.98 - 0.98,5.00,1218.14,11332,2,0.069,1
*_,ARB.L,Argo Blockchain plc,Financial Services,Capital Markets,0.08,2.10 - 2.23,2.25 - 2.40,0.15 - 0.30,1.80,7754.90,2463517,6,2.967,26
@_,ARBB.L,Arbuthnot Banking Group PLC,Financial Services,Banks Regional,0.67,985.00 - 1029.50,1027.50 - 1050.00,42.50 - 65.00,1012.50,975.20,3911,1,0.695,6
@_,ARC.L,Arcontech Group plc,Technology,Software Application,2.00,87.00 - 88.02,89.25 - 92.77,2.25 - 5.77,91.50,493.37,15428,2,0.172,3
*_,ARCM.L,Arc Minerals Limited,Basic Materials,Other Industrial Metals & Mining,0.12,0.95 - 1.01,1.02 - 1.09,0.07 - 0.14,1.00,4876.52,2265706,6,-0.155,16
@_,AREC.L,Arecor Therapeutics plc,Healthcare,Biotechnology,0.30,62.25 - 63.50,64.00 - 66.50,1.75 - 4.25,63.50,1309.90,25037,2,-0.385,10
@_,ARK.L,Arkle Resources PLC,Basic Materials,Other Industrial Metals & Mining,0.00,0.25 - 0.25,0.33 - 0.33,0.08 - 0.08,0.30,1600.00,3193744,6,-0.304,1
@_,ARR.L,Aurora UK Alpha Ord,Financial Services,Asset Management,1.50,250.00 - 252.00,252.90 - 255.00,2.90 - 5.00,257.00,225.20,129205,3,UNKNOWN,4
@_,ARS.L,Asiamet Resources Limited,Basic Materials,Other Industrial Metals & Mining,0.00,0.95 - 1.00,1.02 - 1.04,0.07 - 0.09,1.02,2159.44,1979489,6,0.945,10
@_,ART.L,The Artisanal Spirits Company plc,Consumer Defensive,Beverages Wineries & Distilleries,0.00,43.20 - 43.60,44.50 - 46.25,1.30 - 3.05,44.50,1544.86,6830,1,0.134,6
@_,ARV.L,Artemis Resources Limited,Basic Materials,Other Industrial Metals & Mining,4.00,0.25 - 0.25,0.28 - 0.30,0.02 - 0.05,0.28,1590.40,1267853,6,-0.421,2
@_,ASAI.L,ASA International Group PLC,Financial Services,Credit Services,0.57,128.50 - 133.00,135.06 - 140.00,6.56 - 11.50,134.00,1594.60,29010,2,1.391,7
*_,ASC.L,ASOS Plc,Consumer Cyclical,Internet Retail,0.50,302.50 - 316.00,310.00 - 319.50,7.50 - 17.00,308.50,474.74,158206,3,2.148,6
@_,ASHM.L,Ashmore Group Plc,Financial Services,Asset Management,2.25,173.00 - 175.66,175.60 - 179.10,2.60 - 6.10,177.60,353.92,510468,5,0.944,4
@_,ASL.L,Aberforth Smaller Companies Ord,Financial Services,Asset Management,0.00,1516.00 - 1516.00,1546.00 - 1546.00,30.00 - 30.00,1547.04,90.00,194773,3,UNKNOWN,1
@_,ASLI.L,abrdn European Logistics Income PLC,UNKNOWN,UNKNOWN,0.83,46.80 - 47.77,47.35 - 48.55,0.55 - 1.75,47.95,490.05,1107158,6,UNKNOWN,6
@_,AST.L,Ascent Resources Plc,Energy,Oil & Gas E&P,3.00,0.33 - 0.33,0.37 - 0.37,0.03 - 0.03,0.33,1204.40,823106,5,-1.3,2
@_,ASY.L,Andrews Sykes Group plc,Industrials,Rental & Leasing Services,0.50,510.70 - 554.00,543.25 - 575.00,32.55 - 64.30,547.50,1801.26,2447,1,0.363,8
@_,AT.L,Ashtead Technology Holdings Plc,Energy,Oil & Gas Equipment & Services,0.67,326.00 - 336.11,330.38 - 347.00,4.38 - 21.00,344.00,349.41,598598,5,0.217,3
@_,ATG.L,Auction Technology Group plc,Technology,Software Application,1.00,330.50 - 350.50,345.50 - 355.00,15.00 - 24.50,350.00,738.60,501382,5,1.028,4
@_,ATM.L,Andrada Mining Limited,Basic Materials,Other Industrial Metals & Mining,0.17,2.93 - 3.06,3.07 - 3.20,0.13 - 0.27,3.06,3401.53,3249551,6,0.518,24
@_,ATN.L,Aterian plc,Basic Materials,Other Industrial Metals & Mining,2.00,36.00 - 38.00,38.50 - 40.00,2.50 - 4.00,38.50,881.00,9530,1,0.089,3
*_,ATOM.L,Atome Plc,Utilities,Utilities Renewable,0.33,45.11 - 49.50,47.50 - 51.95,2.39 - 6.84,47.50,4047.17,49054,2,0.584,15
*_,ATR.L,Schroder Asian Total Return Inv. Company,Financial Services,Asset Management,0.50,497.00 - 500.00,504.00 - 510.00,7.00 - 13.00,499.00,432.20,106287,3,UNKNOWN,6
@_,ATYM.L,Atalaya Mining Copper  S.A.,Basic Materials,Copper,0.25,501.00 - 512.00,509.22 - 525.00,8.22 - 24.00,517.00,337.32,358157,4,1.176,4
*_,AUGM.L,Augmentum Fintech Ord,UNKNOWN,UNKNOWN,0.29,88.52 - 89.67,89.83 - 90.80,1.31 - 2.28,87.90,508.47,245652,4,UNKNOWN,7
*_,AURA.L,Aura Energy Limited,Energy,Uranium,0.17,7.00 - 7.50,7.39 - 8.00,0.39 - 1.00,7.25,1215.54,62877,3,-0.959,6
*_,AURR.L,Aurrigo International plc,Consumer Cyclical,Auto Parts,0.50,47.50 - 54.51,49.80 - 59.90,2.30 - 12.40,48.00,2089.64,43193,2,0.493,4
@_,AUSC.L,abrdn UK Smaller Companies Growth Ord,Financial Services,Asset Management,1.00,518.00 - 518.00,526.00 - 526.00,8.00 - 8.00,528.00,72.00,236005,4,UNKNOWN,1
@_,AUTO.L,Auto Trader Group plc,Communication Services,Internet Content & Information,4.00,815.80 - 815.80,824.80 - 830.60,9.00 - 14.80,824.20,142.80,1054583,6,0.652,2
*_,AV.L,Aviva plc,Financial Services,Insurance Diversified,0.25,658.60 - 681.80,674.60 - 691.99,16.00 - 33.39,672.94,301.91,6745668,7,0.81,4
@_,AVAP.L,Avation PLC,Industrials,Rental & Leasing Services,1.50,157.00 - 158.15,159.00 - 160.00,2.00 - 3.00,158.00,258.85,50405,3,0.527,4
*_,AVCT.L,Avacta Group Plc,Healthcare,Biotechnology,0.18,46.80 - 49.55,49.56 - 52.50,2.76 - 5.70,49.00,3380.42,1638576,6,-0.461,22
@_,AVG.L,Avingtrans plc,Industrials,Specialty Industrial Machinery,0.50,430.00 - 442.66,438.75 - 447.80,8.75 - 17.80,441.00,621.83,39766,2,0.364,8
*_,AVON.L,Avon Technologies Plc,Industrials,Aerospace & Defense,0.00,2125.00 - 2125.00,2150.00 - 2150.00,25.00 - 25.00,2005.00,50.00,99709,3,0.237,1
@_,AWE.L,Alphawave IP Group plc,Technology,Semiconductors,1.50,174.20 - 177.00,176.80 - 178.90,2.60 - 4.70,177.40,252.00,831362,5,1.427,4
@_,AXL.L,Arrow Exploration Corp.,Energy,Oil & Gas E&P,0.67,14.11 - 14.40,14.27 - 15.00,0.15 - 0.89,14.50,1163.80,415869,4,0.164,9
@_,AXS.L,Accsys Technologies PLC,Basic Materials,Lumber & Wood Production,0.00,60.00 - 60.80,60.99 - 61.80,0.99 - 1.80,61.40,711.09,24971,2,1.325,9
*_,AYM.L,Anglesey Mining plc,Basic Materials,Other Industrial Metals & Mining,0.00,0.40 - 0.52,0.50 - 0.60,0.09 - 0.20,0.47,5304.67,2629947,6,2.124,7
@_,B90.L,B90 Holdings PLC,Consumer Cyclical,Gambling,0.00,2.80 - 2.80,3.00 - 3.00,0.20 - 0.20,3.00,1071.00,83982,3,0.321,3
*_,BA.L,BAE Systems plc,Industrials,Aerospace & Defense,2.00,1760.65 - 1767.00,1788.00 - 1801.00,27.35 - 40.35,1763.00,122.70,4172514,6,0.342,2
*_,BAB.L,Babcock International Group PLC,Industrials,Engineering & Construction,0.80,982.00 - 1031.00,993.50 - 1046.46,11.50 - 64.46,998.27,401.73,2031652,6,1.359,5
*_,BAG.L,A.G. BARR p.l.c.,Consumer Defensive,Beverages Non-Alcoholic,1.25,685.00 - 690.00,694.00 - 699.00,9.00 - 14.00,685.00,286.86,102415,3,0.331,4
@_,BAKK.L,Bakkavor Group plc,Consumer Defensive,Packaged Foods,0.56,230.00 - 237.50,232.50 - 240.00,2.50 - 10.00,238.00,617.82,139357,3,0.681,9
*_,BANK.L,Fiinu Plc,Financial Services,Credit Services,0.00,15.61 - 17.05,16.00 - 17.95,0.39 - 2.34,12.75,3891.35,1331605,6,10.161,18
@_,BARC.L,Barclays PLC,Financial Services,Banks Diversified,1.00,368.05 - 373.00,372.65 - 377.60,4.60 - 9.55,376.70,280.15,21806866,8,1.061,4
@_,BASC.L,Brown Advisory US Smaller Companies Ord,Financial Services,Asset Management,0.67,1275.00 - 1290.00,1295.00 - 1315.00,20.00 - 40.00,1315.00,423.63,8456,1,UNKNOWN,6
*_,BATS.L,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,1.40,4180.00 - 4333.00,4241.06 - 4806.00,61.06 - 626.00,4322.00,755.06,3507457,6,0.149,5
@_,BBB.L,Bigblu Broadband plc,Communication Services,Telecom Services,0.00,19.37 - 19.55,20.00 - 20.75,0.63 - 1.38,20.00,1048.92,10770,2,0.025,5
@_,BBH.L,Bellevue Healthcare Ord,Financial Services,Asset Management,1.75,112.60 - 114.20,113.80 - 116.20,1.20 - 3.60,116.20,268.70,1405513,6,UNKNOWN,4
@_,BBOX.L,Tritax Big Box Ord,UNKNOWN,UNKNOWN,3.50,137.30 - 137.43,138.88 - 141.50,1.58 - 4.20,142.25,203.40,5271625,7,UNKNOWN,2
@_,BBSN.L,Brave Bison Group plc,Communication Services,Internet Content & Information,0.00,63.70 - 66.00,66.50 - 68.92,2.80 - 5.22,66.00,2153.87,65691,3,0.518,14
@_,BBY.L,Balfour Beatty plc,Industrials,Engineering & Construction,0.86,551.00 - 576.80,559.50 - 584.00,8.50 - 33.00,593.00,469.46,1465294,6,0.71,7
*_,BC94.L,Samsung Electronics Co.  Ltd.,Technology,Consumer Electronics,1.50,1283.00 - 1295.00,1302.00 - 1319.00,19.00 - 36.00,1279.00,423.00,299,1,0.752,6
@_,BCG.L,Baltic Classifieds Group PLC,Communication Services,Internet Content & Information,2.00,334.50 - 334.50,339.50 - 340.50,5.00 - 6.00,338.50,154.00,696114,5,1.409,2
@_,BEG.L,Begbies Traynor Group plc,Industrials,Consulting Services,0.56,114.88 - 118.00,116.08 - 120.50,1.20 - 5.62,120.00,908.32,328672,4,0.3,9
@_,BEM.L,Beowulf Mining plc,Basic Materials,Other Industrial Metals & Mining,0.00,10.01 - 10.12,10.50 - 10.50,0.49 - 0.49,10.50,619.95,5999,1,0.489,3
@_,BERI.L,BlackRock Energy and Resources Income Trust plc,UNKNOWN,UNKNOWN,0.67,121.50 - 122.15,123.50 - 124.00,2.00 - 2.50,124.02,455.53,169455,3,UNKNOWN,6
*_,BEZ.L,Beazley plc,Financial Services,Insurance Specialty,0.00,847.50 - 847.50,867.00 - 867.00,19.50 - 19.50,793.50,97.50,4447937,6,0.504,1
@_,BGCG.L,Baillie Gifford China Growth Trust PLC,UNKNOWN,UNKNOWN,0.50,266.00 - 282.03,271.75 - 285.00,5.75 - 19.00,282.00,1159.47,112522,3,UNKNOWN,12
@_,BGEU.L,Baillie Gifford European Growth Ord,Financial Services,Asset Management,1.75,99.50 - 100.25,100.50 - 102.00,1.00 - 2.50,101.00,235.75,505486,5,UNKNOWN,4
@_,BGFD.L,Baillie Gifford Japan Ord,Financial Services,Asset Management,1.67,890.00 - 901.77,906.00 - 912.00,16.00 - 22.00,904.78,196.15,136309,3,UNKNOWN,3
*_,BGO.L,Bango PLC,Technology,Software Infrastructure,0.57,85.12 - 88.00,86.25 - 91.00,1.12 - 5.88,87.50,930.90,40439,2,0.647,7
@_,BGS.L,Baillie Gifford Shin Nippon Ord,Financial Services,Asset Management,0.67,133.06 - 134.64,134.45 - 137.80,1.39 - 4.74,134.80,227.55,490534,4,UNKNOWN,3
@_,BGUK.L,Baillie Gifford UK Growth Trust Ord,UNKNOWN,UNKNOWN,3.50,200.00 - 200.00,206.00 - 206.00,6.00 - 6.00,203.00,300.00,319660,4,UNKNOWN,2
@_,BHL.L,Bradda Head Lithium Limited,Basic Materials,Other Industrial Metals & Mining,0.43,0.90 - 0.95,1.00 - 1.00,0.10 - 0.10,0.95,2541.53,63429,3,-0.41,7
@_,BHMG.L,BH Macro GBP Ord,Financial Services,Asset Management,4.00,395.14 - 399.58,401.00 - 404.00,5.86 - 8.86,402.00,123.36,612560,5,UNKNOWN,2
@_,BHP.L,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining,3.50,1991.00 - 2018.09,2016.00 - 2062.00,25.00 - 71.00,2061.00,137.82,867941,5,0.705,2
@_,BIG.L,Big Technologies PLC,Technology,Software Application,0.75,83.40 - 89.46,85.73 - 90.60,2.33 - 7.20,89.00,1249.36,287116,4,0.497,8
@_,BIH.L,Boston International Holdings Plc,Financial Services,Shell Companies,0.00,0.31 - 0.31,0.40 - 0.40,0.09 - 0.09,0.40,1463.40,115484,3,0.352,1
*_,BILN.L,Billington Holdings Plc,Industrials,Engineering & Construction,0.00,350.00 - 353.66,353.70 - 357.40,3.70 - 7.40,345.00,569.94,28835,2,0.445,9
@_,BIOG.L,Biotech Growth Ord,Financial Services,Asset Management,0.75,820.00 - 884.26,834.00 - 897.60,14.00 - 77.60,891.34,550.25,140787,3,UNKNOWN,8
@_,BIPS.L,Invesco Bond Income Plus Ord,Financial Services,Asset Management,1.33,173.00 - 173.08,175.00 - 175.00,2.00 - 2.00,173.50,164.64,375104,4,UNKNOWN,3
