I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Num of Trades
@_,BAC,Bank of America Corporation,Financial Services,Banks Diversified,1.75,46.83 - 47.89,47.53 - 48.47,0.70 - 1.65,48.26,258.83,32142570,8,1.315,4
*_,SAP,SAP SE,Technology,Software Application,0.00,270.48 - 277.15,274.53 - 280.42,4.05 - 9.95,269.26,203.04,1785810,6,0.934,3
*_,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers General,0.83,197.81 - 209.88,200.12 - 212.16,2.32 - 14.35,209.53,399.39,4700910,6,0.503,6
@_,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,1.00,154.14 - 154.64,155.95 - 158.46,1.81 - 4.32,155.52,180.16,7703070,7,0.841,2
@_,NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers General,0.40,49.49 - 55.09,50.23 - 55.71,0.74 - 6.22,55.47,786.84,18554020,8,0.274,10
@_,KO,The Coca-Cola Company,Consumer Defensive,Beverages Non-Alcoholic,1.00,69.52 - 69.52,70.28 - 71.46,0.76 - 1.94,70.63,191.70,11898990,8,0.437,2
*_,GE,GE Aerospace,Industrials,Aerospace & Defense,1.25,264.58 - 277.00,268.40 - 279.92,3.82 - 15.35,268.71,255.78,4196460,6,1.447,4
*_,ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,1.00,730.53 - 747.43,739.62 - 756.34,9.09 - 25.81,735.14,215.70,1343650,6,1.248,4
@_,TMUS,T-Mobile US  Inc.,Communication Services,Telecom Services,1.25,249.15 - 257.73,253.75 - 260.99,4.60 - 11.85,258.19,285.04,3705820,6,0.613,4
*_,BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,0.00,118.26 - 122.44,120.37 - 127.78,2.11 - 9.52,118.08,404.72,11128120,8,0.158,4
*_,CSCO,Cisco Systems  Inc.,Technology,Communication Equipment,0.00,70.61 - 70.61,71.64 - 71.64,1.03 - 1.03,67.01,72.10,26782650,8,0.909,1
*_,WFC,Wells Fargo & Company,Financial Services,Banks Diversified,0.00,78.00 - 78.68,79.50 - 79.54,1.50 - 1.54,77.81,150.18,13172730,8,1.196,2
*_,AMD,Advanced Micro Devices  Inc.,Technology,Semiconductors,0.00,170.05 - 182.78,171.96 - 185.95,1.91 - 15.90,163.64,552.43,61634820,9,1.94,4
@_,CRM,Salesforce  Inc.,Technology,Software Application,0.67,227.72 - 243.26,230.51 - 248.06,2.79 - 20.34,245.92,522.59,9471510,7,1.37,6
*_,UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,0.15,255.99 - 312.02,262.00 - 315.97,6.01 - 59.99,303.41,1264.98,23878190,8,0.44,13
@_,TM,Toyota Motor Corporation,Consumer Cyclical,Auto Manufacturers,5.00,191.07 - 191.07,199.26 - 199.26,8.19 - 8.19,197.30,212.94,336960,4,0.239,1
@_,PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,1.00,164.68 - 166.48,166.54 - 173.79,1.87 - 9.12,174.43,326.70,4428230,6,0.507,3
@_,IBM,International Business Machines Corporation,Technology,Information Technology Services,2.00,233.78 - 239.39,239.49 - 242.56,5.71 - 8.78,239.40,256.39,5269660,7,0.677,3
@_,AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers General,0.80,74.34 - 79.52,77.37 - 80.92,3.03 - 6.58,80.46,466.27,3851520,6,0.146,5
*_,MS,Morgan Stanley,Financial Services,Capital Markets,1.00,145.53 - 145.59,148.25 - 148.27,2.72 - 2.74,144.03,183.60,4549150,6,1.32,2
@_,NVS,Novartis AG,Healthcare,Drug Manufacturers General,1.20,118.84 - 124.88,121.13 - 127.27,2.29 - 8.43,126.83,397.47,1310960,6,0.548,5
@_,HSBC,HSBC Holdings plc,Financial Services,Banks Diversified,2.00,63.62 - 64.78,65.47 - 65.47,1.85 - 1.85,65.25,197.43,1342730,6,0.501,2
@_,LIN,Linde plc,Basic Materials,Specialty Chemicals,2.33,470.11 - 478.43,475.40 - 485.79,5.29 - 15.68,480.64,188.20,1380560,6,0.929,3
@_,DIS,The Walt Disney Company,Communication Services,Entertainment,1.50,113.44 - 116.26,115.61 - 117.58,2.17 - 4.14,116.22,317.79,7298650,7,1.565,4
@_,ABT,Abbott Laboratories,Healthcare,Medical Devices,0.67,128.87 - 131.07,131.40 - 133.59,2.53 - 4.72,132.04,244.34,5726190,7,0.705,3
*_,INTU,Intuit Inc.,Technology,Software Application,0.33,700.67 - 712.08,712.91 - 719.32,12.24 - 18.65,697.96,210.84,2041520,6,1.287,3
*_,BX,Blackstone Inc.,Financial Services,Asset Management,0.00,172.64 - 175.07,174.66 - 177.02,2.02 - 4.38,163.43,241.64,3906230,6,1.699,4
@_,AXP,American Express Company,Financial Services,Credit Services,1.20,302.40 - 304.96,305.54 - 308.51,3.14 - 6.11,308.23,276.32,2234950,6,1.283,5
@_,SHEL,Shell plc,Energy,Oil & Gas Integrated,3.50,71.66 - 71.93,72.47 - 72.68,0.81 - 1.02,72.49,107.64,3113661,6,0.312,2
@_,MRK,Merck & Co.  Inc.,Healthcare,Drug Manufacturers General,0.62,80.18 - 86.23,82.53 - 87.25,2.35 - 7.07,86.14,572.08,10006230,8,0.392,8
*_,GS,The Goldman Sachs Group  Inc.,Financial Services,Capital Markets,0.00,728.02 - 739.50,740.27 - 748.02,12.25 - 20.00,715.78,124.62,1589560,6,1.37,2
@_,MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,0.67,300.85 - 311.91,304.83 - 315.35,3.98 - 14.49,313.21,333.28,3215270,6,0.521,6
@_,RTX,RTX Corporation,Industrials,Aerospace & Defense,1.00,153.25 - 154.06,154.83 - 157.63,1.58 - 4.38,156.36,266.56,3620940,6,0.672,4
*_,NOW,ServiceNow  Inc.,Technology,Software Application,0.67,843.75 - 884.41,856.03 - 897.43,12.28 - 53.68,876.94,384.90,2099860,6,0.929,6
@_,CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,1.00,410.36 - 411.22,415.22 - 417.61,4.86 - 7.25,417.88,269.04,3362550,6,1.397,4
@_,T,AT&T Inc.,Communication Services,Telecom Services,1.50,28.49 - 29.25,28.86 - 29.55,0.38 - 1.06,29.45,233.01,27002670,8,0.622,4
*_,PEP,PepsiCo  Inc.,Consumer Defensive,Beverages Non-Alcoholic,0.67,145.03 - 151.41,146.65 - 154.29,1.62 - 9.26,148.98,394.40,7763230,7,0.457,6
*_,UBER,Uber Technologies  Inc.,Technology,Software Application,0.33,90.15 - 94.63,91.10 - 96.15,0.94 - 6.00,94.24,398.26,16831960,8,1.426,6
@_,RY,Royal Bank of Canada,Financial Services,Banks Diversified,0.50,134.08 - 135.19,135.90 - 137.09,1.82 - 3.01,136.23,135.74,1168170,6,1.031,2
@_,VZ,Verizon Communications Inc.,Communication Services,Telecom Services,1.25,43.29 - 44.78,43.89 - 45.67,0.59 - 2.38,45.03,314.63,14807310,8,0.362,4
*_,TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,0.83,463.67 - 494.59,471.70 - 500.21,8.03 - 36.54,483.60,428.10,2047500,6,0.748,6
@_,HDB,HDFC Bank Limited,Financial Services,Banks Regional,2.67,73.41 - 74.76,74.24 - 75.60,0.83 - 2.19,75.44,173.52,1628940,6,0.623,3
*_,ACN,Accenture plc,Technology,Information Technology Services,0.83,238.97 - 254.22,241.90 - 259.07,2.93 - 20.10,253.93,562.75,4382000,6,1.29,6
*_,C,Citigroup Inc.,Financial Services,Banks Diversified,0.00,93.88 - 94.66,94.86 - 96.06,0.98 - 2.18,92.57,124.74,13721240,8,1.366,2
*_,SCHW,The Charles Schwab Corporation,Financial Services,Capital Markets,0.00,95.64 - 98.02,97.81 - 99.36,2.17 - 3.72,95.83,181.18,8140380,7,0.955,2
*_,ISRG,Intuitive Surgical  Inc.,Healthcare,Medical Instruments & Supplies,1.00,474.50 - 477.24,481.12 - 485.73,6.62 - 11.23,469.86,226.10,1686570,6,1.599,3
*_,BA,The Boeing Company,Industrials,Aerospace & Defense,0.25,228.63 - 232.60,232.18 - 236.17,3.55 - 7.54,224.46,305.55,6389530,7,1.476,4
*_,BLK,BlackRock  Inc.,Financial Services,Asset Management,0.00,1139.42 - 1151.30,1154.99 - 1171.57,15.57 - 32.15,1124.64,143.36,509870,5,1.432,2
*_,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,1.00,149.04 - 158.01,152.19 - 159.64,3.15 - 10.60,154.11,396.40,6484780,7,1.228,5
*_,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,0.00,617.24 - 653.49,628.36 - 661.44,11.12 - 44.20,605.47,144.61,2543670,6,UNKNOWN,2
*_,MUFG,Mitsubishi UFJ Financial Group  Inc.,Financial Services,Banks Diversified,0.33,14.99 - 15.31,15.15 - 16.12,0.16 - 1.13,15.30,410.02,3263810,6,0.244,3
*_,ARM,Arm Holdings plc,Technology,Semiconductors,0.00,140.72 - 141.81,142.52 - 144.87,1.80 - 4.15,133.29,170.10,4243660,6,UNKNOWN,2
@_,TXN,Texas Instruments Incorporated,Technology,Semiconductors,0.75,185.63 - 199.80,188.13 - 201.85,2.50 - 16.21,200.67,475.13,5877410,7,1.022,8
@_,PDD,PDD Holdings Inc.,Consumer Cyclical,Internet Retail,0.70,112.98 - 121.73,114.17 - 123.21,1.19 - 10.23,122.94,608.95,7049300,7,0.41,10
@_,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers General,0.83,283.40 - 295.79,287.04 - 301.07,3.64 - 17.66,295.86,355.46,1891500,6,0.48,6
*_,SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,0.00,554.64 - 558.46,560.45 - 566.49,5.82 - 11.85,552.44,116.53,1043030,6,1.188,2
*_,SHOP,Shopify Inc.,Technology,Software Application,0.00,147.72 - 148.60,150.29 - 150.45,2.57 - 2.73,136.70,205.26,7268300,7,2.632,3
*_,ADBE,Adobe Inc.,Technology,Software Application,0.44,330.92 - 359.31,335.77 - 364.05,4.85 - 33.13,353.37,576.49,3510120,6,1.517,9
@_,BSX,Boston Scientific Corporation,Healthcare,Medical Devices,1.50,101.91 - 104.89,103.05 - 106.27,1.14 - 4.36,105.23,284.40,5987240,7,0.66,4
@_,SONY,Sony Group Corporation,Technology,Consumer Electronics,0.00,27.13 - 27.60,27.94 - 29.05,0.81 - 1.92,27.63,411.49,3673640,6,0.758,2
@_,UL,Unilever PLC,Consumer Defensive,Household & Personal Products,2.50,60.99 - 61.00,62.46 - 63.55,1.47 - 2.56,63.27,325.62,2045200,6,0.205,2
*_,SYK,Stryker Corporation,Healthcare,Medical Devices,0.80,374.97 - 386.06,378.94 - 393.89,3.97 - 18.92,384.78,327.44,1264620,6,0.914,5
*_,AMAT,Applied Materials  Inc.,Technology,Semiconductor Equipment & Materials,0.33,185.03 - 188.68,188.92 - 190.69,3.89 - 5.66,159.84,220.47,10345150,8,1.694,3
*_,ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,0.00,353.45 - 359.37,357.45 - 364.31,4.00 - 10.86,345.38,180.42,2096290,6,1.163,3
@_,NEE,NextEra Energy  Inc.,Utilities,Utilities Regulated Electric,1.00,72.39 - 76.20,75.15 - 77.24,2.77 - 4.85,76.11,555.35,10123240,8,0.616,6
*_,DHR,Danaher Corporation,Healthcare,Diagnostics & Research,0.83,201.13 - 210.24,203.41 - 213.33,2.28 - 12.20,203.90,412.93,3163180,6,0.761,6
*_,PGR,The Progressive Corporation,Financial Services,Insurance Property & Casualty,0.50,242.59 - 250.42,245.35 - 254.09,2.76 - 11.50,248.98,347.33,3017780,6,0.332,6
@_,HON,Honeywell International Inc.,Industrials,Conglomerates,1.00,215.68 - 215.68,219.80 - 219.80,4.12 - 4.12,217.42,94.76,3240050,6,1.065,1
@_,PFE,Pfizer Inc.,Healthcare,Drug Manufacturers General,1.75,24.59 - 25.45,25.10 - 25.88,0.51 - 1.28,25.72,372.89,35339010,8,0.44,4
*_,ANET,Arista Networks Inc,Technology,Computer Hardware,0.80,128.41 - 139.57,129.99 - 141.18,1.58 - 12.77,132.05,286.55,7763360,7,1.37,5
@_,TJX,The TJX Companies  Inc.,Consumer Cyclical,Apparel Retail,2.00,132.62 - 134.54,134.01 - 144.44,1.39 - 11.82,137.48,471.01,5960130,7,0.888,3
*_,GILD,Gilead Sciences  Inc.,Healthcare,Drug Manufacturers General,3.00,119.15 - 119.42,120.60 - 121.00,1.45 - 1.86,116.14,124.23,6906470,7,0.347,2
*_,SPOT,Spotify Technology S.A.,Communication Services,Internet Content & Information,0.17,676.36 - 728.83,686.36 - 742.10,10.00 - 65.74,689.58,547.43,1683330,6,1.699,6
@_,BHP,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining,0.50,53.55 - 53.82,54.71 - 54.72,1.16 - 1.17,54.48,190.68,2781210,6,0.705,2
@_,BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,Beverages Brewers,2.00,61.38 - 62.17,62.09 - 63.23,0.71 - 1.85,63.07,214.40,2006950,6,0.867,3
*_,DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,0.17,473.13 - 506.21,480.02 - 512.41,6.89 - 39.28,486.86,386.80,1806540,6,1.067,6
*_,COF,Capital One Financial Corporation,Financial Services,Credit Services,0.00,213.24 - 215.55,215.88 - 219.12,2.64 - 5.88,212.01,268.64,3261580,6,1.165,4
@_,PANW,Palo Alto Networks  Inc.,Technology,Software Infrastructure,1.00,171.75 - 183.06,173.53 - 186.98,1.78 - 15.23,183.34,661.88,12940030,8,0.943,5
*_,KKR,KKR & Co. Inc.,Financial Services,Asset Management,0.00,143.83 - 146.46,146.87 - 148.71,3.04 - 4.88,137.85,179.86,2795700,6,1.875,2
@_,TTE,TotalEnergies SE,Energy,Oil & Gas Integrated,0.67,61.39 - 62.19,62.55 - 63.18,1.16 - 1.79,63.45,256.59,1368760,6,0.715,3
@_,SAN,Banco Santander  S.A.,Financial Services,Banks Diversified,1.00,9.34 - 9.53,9.52 - 9.69,0.18 - 0.35,9.56,263.98,3263330,6,1.297,3
@_,CMCSA,Comcast Corporation,Communication Services,Telecom Services,0.67,31.73 - 33.50,32.21 - 33.92,0.48 - 2.19,33.61,435.31,19957000,8,0.922,6
@_,UNP,Union Pacific Corporation,Industrials,Railroads,1.00,219.93 - 222.48,222.76 - 226.56,2.83 - 6.63,225.29,268.40,3911550,6,1.054,4
@_,TD,The Toronto-Dominion Bank,Financial Services,Banks Diversified,1.00,73.26 - 73.26,74.64 - 74.64,1.38 - 1.38,73.65,93.84,1346220,6,1.024,1
*_,LOW,Lowe's Companies  Inc.,Consumer Cyclical,Home Improvement Retail,0.71,241.71 - 256.48,244.40 - 262.73,2.69 - 21.02,255.77,566.64,3670300,6,0.886,7
*_,APH,Amphenol Corporation,Technology,Electronic Components,0.80,108.32 - 110.32,109.47 - 112.17,1.15 - 3.85,108.82,322.90,6978360,7,1.133,5
*_,LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,0.25,101.50 - 106.43,103.98 - 107.61,2.48 - 6.11,98.39,340.08,12745980,8,1.661,4
*_,MU,Micron Technology  Inc.,Technology,Semiconductors,0.00,123.36 - 127.02,125.74 - 128.34,2.38 - 4.98,115.79,281.44,20229880,8,1.374,4
@_,ADP,Automatic Data Processing  Inc.,Technology,Software Application,1.67,299.69 - 304.49,303.04 - 308.94,3.35 - 9.25,304.94,186.56,1349720,6,0.82,3
@_,IBN,ICICI Bank Limited,Financial Services,Banks Regional,1.67,32.19 - 32.91,32.62 - 33.32,0.44 - 1.13,33.34,208.12,3257710,6,0.495,3
@_,SNY,Sanofi,Healthcare,Drug Manufacturers General,1.25,47.38 - 50.44,48.74 - 51.19,1.37 - 3.81,50.60,429.29,2258810,6,0.407,4
*_,APP,AppLovin Corporation,Communication Services,Advertising Agencies,0.50,411.65 - 462.01,419.06 - 467.52,7.41 - 55.87,418.86,425.40,5434670,7,2.427,6
@_,VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,1.20,378.51 - 392.72,384.00 - 399.36,5.49 - 20.85,397.54,410.11,2014710,6,0.444,5
*_,MELI,MercadoLibre  Inc.,Consumer Cyclical,Internet Retail,0.33,2312.08 - 2345.00,2340.77 - 2431.00,28.69 - 118.92,2336.95,355.78,313950,4,1.462,3
@_,COP,ConocoPhillips,Energy,Oil & Gas E&P,0.00,93.78 - 93.78,96.62 - 96.62,2.84 - 2.84,94.77,150.52,6840160,7,0.677,1
*_,KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,0.25,914.27 - 945.97,928.09 - 957.13,13.83 - 42.86,872.04,253.95,1008140,6,1.432,4
@_,MDT,Medtronic plc,Healthcare,Medical Devices,0.50,87.65 - 92.06,89.67 - 93.03,2.01 - 5.38,91.11,447.24,9017770,7,0.817,4
@_,UBS,UBS Group AG,Financial Services,Banks Diversified,1.00,39.46 - 39.47,39.90 - 40.15,0.44 - 0.69,39.50,141.12,1916490,6,0.918,2
*_,MSTR,Strategy Inc,Technology,Software Application,0.00,391.67 - 393.05,398.37 - 398.85,6.70 - 7.18,337.54,150.00,11984390,8,3.775,2
@_,BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,3.50,56.92 - 57.49,57.72 - 59.25,0.80 - 2.33,59.28,220.96,4171880,6,0.149,2
*_,CRWD,CrowdStrike Holdings  Inc.,Technology,Software Infrastructure,0.00,429.69 - 434.08,435.85 - 439.23,6.16 - 9.54,414.05,124.41,2515460,6,1.132,2
*_,SNPS,Synopsys  Inc.,Technology,Software Infrastructure,2.50,613.61 - 613.62,621.74 - 626.92,8.14 - 13.31,598.31,171.44,1039880,6,1.153,2
*_,ADI,Analog Devices  Inc.,Technology,Semiconductors,0.55,226.67 - 247.13,229.53 - 250.06,2.86 - 23.39,246.93,730.19,4269980,6,1.052,11
*_,NKE,NIKE  Inc.,Consumer Cyclical,Footwear & Accessories,0.80,74.55 - 77.68,75.46 - 78.53,0.91 - 3.98,76.17,378.37,8074310,7,1.276,5
*_,RIO,Rio Tinto Group,Basic Materials,Other Industrial Metals & Mining,1.00,62.79 - 62.79,63.77 - 63.77,0.98 - 0.98,61.33,77.42,2882800,6,0.615,1
@_,AMT,American Tower Corporation,Real Estate,REIT Specialty,0.20,202.98 - 208.61,205.73 - 210.90,2.75 - 7.92,209.80,378.83,2241680,6,0.832,5
@_,CB,Chubb Limited,Financial Services,Insurance Property & Casualty,1.67,270.03 - 275.73,274.13 - 280.14,4.10 - 10.11,278.80,223.56,1650250,6,0.541,3
*_,SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,0.50,92.30 - 93.47,93.40 - 94.64,1.10 - 2.34,88.56,121.41,7723740,7,1.004,2
@_,WELL,Welltower Inc.,Real Estate,REIT Healthcare Facilities,1.25,161.65 - 165.84,163.60 - 167.68,1.95 - 6.03,166.94,262.20,2197170,6,0.915,4
*_,ICE,Intercontinental Exchange  Inc.,Financial Services,Financial Data & Stock Exchanges,0.00,180.47 - 180.47,182.92 - 182.92,2.45 - 2.45,179.21,66.15,3240160,6,1.12,1
*_,SMFG,Sumitomo Mitsui Financial Group  Inc.,Financial Services,Banks Diversified,0.67,16.15 - 16.67,16.35 - 17.43,0.21 - 1.28,16.58,431.02,1880510,6,0.22,3
@_,SO,The Southern Company,Utilities,Utilities Regulated Electric,1.00,93.03 - 93.60,94.64 - 94.66,1.61 - 1.63,94.61,141.51,5141170,7,0.358,2
*_,PLD,Prologis  Inc.,Real Estate,REIT Industrial,0.80,103.68 - 109.84,105.77 - 112.07,2.08 - 8.39,108.37,529.76,2703570,6,1.223,5
*_,DASH,DoorDash  Inc.,Consumer Cyclical,Internet Retail,0.00,259.36 - 261.14,262.45 - 264.24,3.09 - 4.88,245.05,117.61,3867650,6,1.701,2
*_,BN,Brookfield Corporation,Financial Services,Asset Management,0.00,64.97 - 65.40,65.82 - 66.29,0.85 - 1.32,64.07,132.24,2484750,6,2.242,2
*_,TT,Trane Technologies plc,Industrials,Building Products & Equipment,0.00,429.52 - 434.03,434.27 - 439.77,4.75 - 10.25,422.18,169.95,952550,5,1.093,3
@_,MMC,Marsh & McLennan Companies  Inc.,Financial Services,Insurance Brokers,1.00,202.55 - 210.57,204.81 - 213.67,2.26 - 11.12,211.11,289.20,1953030,6,0.775,5
*_,BAM,Brookfield Asset Management Ltd.,Financial Services,Asset Management,0.00,61.96 - 62.46,62.60 - 63.15,0.64 - 1.19,59.00,106.40,1431680,6,1.844,2
*_,COIN,Coinbase Global  Inc.,Financial Services,Financial Data & Stock Exchanges,0.00,315.30 - 323.80,323.17 - 341.97,7.87 - 26.67,300.29,488.40,9996670,7,3.712,3
*_,CEG,Constellation Energy Corporation,Utilities,Utilities Renewable,0.40,320.76 - 335.87,324.94 - 341.83,4.18 - 21.07,312.52,317.13,2048240,6,1.142,5
@_,MO,Altria Group  Inc.,Consumer Defensive,Tobacco,3.50,65.67 - 66.17,66.57 - 67.81,0.90 - 2.14,67.67,191.40,8208030,7,0.623,2
@_,CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,0.00,272.51 - 272.51,276.76 - 276.76,4.25 - 4.25,273.19,76.50,1920550,6,0.457,1
*_,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers General,0.57,46.22 - 48.46,46.73 - 49.48,0.51 - 3.26,48.42,487.45,9521010,7,0.372,7
@_,ENB,Enbridge Inc.,Energy,Oil & Gas Midstream,1.67,47.10 - 47.63,47.81 - 48.15,0.71 - 1.06,47.94,237.46,4211730,6,0.856,3
*_,INTC,Intel Corporation,Technology,Semiconductors,0.25,20.93 - 25.96,21.21 - 26.32,0.27 - 5.39,23.50,1471.84,173812790,10,1.218,16
@_,RELX,RELX PLC,Industrials,Specialty Business Services,2.00,47.46 - 47.84,48.03 - 48.92,0.58 - 1.46,48.18,172.17,1427460,6,0.475,2
@_,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,1.50,426.89 - 443.39,435.64 - 448.08,8.75 - 21.18,447.19,283.14,1426900,6,0.262,4
*_,RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,1.20,308.57 - 326.39,312.24 - 331.13,3.68 - 22.57,325.03,485.54,2014540,6,2.229,5
@_,SE,Sea Limited,Consumer Cyclical,Internet Retail,0.57,170.61 - 179.50,174.63 - 181.47,4.02 - 10.86,179.56,595.96,5856080,7,1.589,7
*_,PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,0.00,737.32 - 752.46,745.81 - 762.58,8.49 - 25.26,733.23,205.26,662630,5,1.369,3
@_,DUK,Duke Energy Corporation,Utilities,Utilities Regulated Electric,3.00,122.42 - 123.48,125.44 - 125.44,3.03 - 3.03,124.16,199.20,3083230,6,0.341,2
@_,WM,Waste Management  Inc.,Industrials,Waste Management,4.00,227.13 - 227.13,231.47 - 231.47,4.34 - 4.34,229.62,95.48,2045290,6,0.644,1
@_,TRI,Thomson Reuters Corporation,Industrials,Specialty Business Services,0.80,170.23 - 174.40,172.69 - 176.74,2.46 - 6.51,176.14,303.53,1372200,6,0.435,5
@_,RACE,Ferrari N.V.,Consumer Cyclical,Auto Manufacturers,1.00,441.11 - 462.23,446.45 - 472.02,5.34 - 30.92,466.95,384.89,417720,4,0.705,4
*_,MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,1.00,512.99 - 516.64,519.00 - 522.67,6.01 - 9.68,509.25,108.36,528740,5,1.395,2
